"year","indicator","value"
2006,"total_weight",401429
2006,"edge_density",0.104269293924466
2006,"weighted_reciprocity",0.170794048224509
2006,"in_strength_gini",0.956773384227704
2006,"out_strength_gini",0.590249191904777
2006,"effective_destinations",8.60018433809058
2006,"top10_destination_share",0.874558141041131
2006,"binary_transitivity",0.29856515083433
2007,"total_weight",411161
2007,"edge_density",0.10440065681445
2007,"weighted_reciprocity",0.164059405297643
2007,"in_strength_gini",0.956193802427759
2007,"out_strength_gini",0.592793549415992
2007,"effective_destinations",8.68678466345708
2007,"top10_destination_share",0.867713620698461
2007,"binary_transitivity",0.301085808215834
2008,"total_weight",395370
2008,"edge_density",0.0961904761904762
2008,"weighted_reciprocity",0.148594874332488
2008,"in_strength_gini",0.960538403448488
2008,"out_strength_gini",0.593240819630075
2008,"effective_destinations",7.78663032210069
2008,"top10_destination_share",0.893694513999545
2008,"binary_transitivity",0.268824586807809
2009,"total_weight",443343
2009,"edge_density",0.0951067323481117
2009,"weighted_reciprocity",0.134030611779792
2009,"in_strength_gini",0.96150322823251
2009,"out_strength_gini",0.581703775954187
2009,"effective_destinations",7.73770855363852
2009,"top10_destination_share",0.901699135883503
2009,"binary_transitivity",0.266335780108305
2010,"total_weight",501804
2010,"edge_density",0.0952380952380952
2010,"weighted_reciprocity",0.143640427651954
2010,"in_strength_gini",0.962149319540811
2010,"out_strength_gini",0.585061463952345
2010,"effective_destinations",7.68534068077666
2010,"top10_destination_share",0.910273732373596
2010,"binary_transitivity",0.259761664837608
2011,"total_weight",491868
2011,"edge_density",0.0954022988505747
2011,"weighted_reciprocity",0.147667503416193
2011,"in_strength_gini",0.961759333805005
2011,"out_strength_gini",0.587177814256787
2011,"effective_destinations",7.72292197045399
2011,"top10_destination_share",0.907117356689193
2011,"binary_transitivity",0.257922011723728
2012,"total_weight",408030
2012,"edge_density",0.0923152709359606
2012,"weighted_reciprocity",0.138494361869858
2012,"in_strength_gini",0.965474751506367
2012,"out_strength_gini",0.576933516793233
2012,"effective_destinations",6.92351585213911
2012,"top10_destination_share",0.926831360439183
2012,"binary_transitivity",0.255900818223922
2013,"total_weight",345880
2013,"edge_density",0.0902134646962233
2013,"weighted_reciprocity",0.139667465673815
2013,"in_strength_gini",0.967280212790563
2013,"out_strength_gini",0.57683764806952
2013,"effective_destinations",6.55273555945488
2013,"top10_destination_share",0.93727882502602
2013,"binary_transitivity",0.252554322442897
2014,"total_weight",362227
2014,"edge_density",0.085615763546798
2014,"weighted_reciprocity",0.140952961193542
2014,"in_strength_gini",0.967943243167564
2014,"out_strength_gini",0.587330990945299
2014,"effective_destinations",6.36570166258728
2014,"top10_destination_share",0.940131464523628
2014,"binary_transitivity",0.244066282849721
2015,"total_weight",361027
2015,"edge_density",0.0855172413793103
2015,"weighted_reciprocity",0.138188825818643
2015,"in_strength_gini",0.968555687762174
2015,"out_strength_gini",0.595267864809478
2015,"effective_destinations",6.23482848215314
2015,"top10_destination_share",0.94112351707767
2015,"binary_transitivity",0.247657083537588
2016,"total_weight",358367
2016,"edge_density",0.0904433497536946
2016,"weighted_reciprocity",0.146055642766629
2016,"in_strength_gini",0.966548275132157
2016,"out_strength_gini",0.594849414148066
2016,"effective_destinations",6.68090232207654
2016,"top10_destination_share",0.935496292906434
2016,"binary_transitivity",0.258983879690774
2017,"total_weight",344721
2017,"edge_density",0.0904761904761905
2017,"weighted_reciprocity",0.1422738741494
2017,"in_strength_gini",0.967008102204391
2017,"out_strength_gini",0.582016976876124
2017,"effective_destinations",6.57776263246513
2017,"top10_destination_share",0.93380443895208
2017,"binary_transitivity",0.254936809730809
2018,"total_weight",385604
2018,"edge_density",0.0745484400656814
2018,"weighted_reciprocity",0.144912028725314
2018,"in_strength_gini",0.968430766130167
2018,"out_strength_gini",0.652280400173679
2018,"effective_destinations",6.23842287156273
2018,"top10_destination_share",0.946714764369664
2018,"binary_transitivity",0.273722493662981
2019,"total_weight",384035
2019,"edge_density",0.0839737274220033
2019,"weighted_reciprocity",0.147877767184205
2019,"in_strength_gini",0.967591569964791
2019,"out_strength_gini",0.620909031728879
2019,"effective_destinations",6.50984425685869
2019,"top10_destination_share",0.941036624266017
2019,"binary_transitivity",0.270260013334017
2020,"total_weight",310946
2020,"edge_density",0.0782594417077176
2020,"weighted_reciprocity",0.115590654593212
2020,"in_strength_gini",0.971191837627296
2020,"out_strength_gini",0.633180883038029
2020,"effective_destinations",5.7475014387358
2020,"top10_destination_share",0.95243547111074
2020,"binary_transitivity",0.260991168643316
2021,"total_weight",330992
2021,"edge_density",0.069688013136289
2021,"weighted_reciprocity",0.155180959724123
2021,"in_strength_gini",0.972726591579253
2021,"out_strength_gini",0.680099855671954
2021,"effective_destinations",5.47392102903025
2021,"top10_destination_share",0.965038429931841
2021,"binary_transitivity",0.264588766533046
2022,"total_weight",352840
2022,"edge_density",0.077504105090312
2022,"weighted_reciprocity",0.113065010282453
2022,"in_strength_gini",0.972851085882715
2022,"out_strength_gini",0.64811388407534
2022,"effective_destinations",5.46888040764163
2022,"top10_destination_share",0.960341797982088
2022,"binary_transitivity",0.253289717389198
2023,"total_weight",461729
2023,"edge_density",0.084696223316913
2023,"weighted_reciprocity",0.125258677012788
2023,"in_strength_gini",0.968650838169452
2023,"out_strength_gini",0.631744173994455
2023,"effective_destinations",6.29278068234839
2023,"top10_destination_share",0.940822430473286
2023,"binary_transitivity",0.265264916800111
2024,"total_weight",441262
2024,"edge_density",0.0855829228243021
2024,"weighted_reciprocity",0.137552264834736
2024,"in_strength_gini",0.967771553926174
2024,"out_strength_gini",0.6366767524574
2024,"effective_destinations",6.35850159911973
2024,"top10_destination_share",0.93428847260811
2024,"binary_transitivity",0.268803408339659
