"year","nodes","directed_edges","total_weight","finite_weights","nonnegative_weights"
2006,175,3196,401429,TRUE,TRUE
2007,175,3201,411161,TRUE,TRUE
2008,175,2950,395370,TRUE,TRUE
2009,175,2916,443343,TRUE,TRUE
2010,175,2919,501804,TRUE,TRUE
2011,175,2924,491868,TRUE,TRUE
2012,175,2830,408030,TRUE,TRUE
2013,175,2766,345880,TRUE,TRUE
2014,175,2626,362227,TRUE,TRUE
2015,175,2623,361027,TRUE,TRUE
2016,175,2774,358367,TRUE,TRUE
2017,175,2775,344721,TRUE,TRUE
2018,175,2286,385604,TRUE,TRUE
2019,175,2577,384035,TRUE,TRUE
2020,175,2402,310946,TRUE,TRUE
2021,175,2138,330992,TRUE,TRUE
2022,175,2378,352840,TRUE,TRUE
2023,175,2597,461729,TRUE,TRUE
2024,175,2624,441262,TRUE,TRUE
