"channel","comparison_1","comparison_2","spearman_rho","top5_jaccard","analysis"
"estimated_role_instability","block","smooth",0.496639085480925,0.111111111111111,"Estimator agreement at fixed K=13"
"estimated_role_instability","block","spectral",-0.157976272988434,0.111111111111111,"Estimator agreement at fixed K=13"
"estimated_role_instability","smooth","spectral",0.256277010429251,0.428571428571429,"Estimator agreement at fixed K=13"
"graphon_cut_raw","block","smooth",0.810113519091847,1,"Estimator agreement at fixed K=13"
"graphon_cut_raw","block","spectral",0.764705882352941,0.666666666666667,"Estimator agreement at fixed K=13"
"graphon_cut_raw","smooth","spectral",0.898864809081527,0.666666666666667,"Estimator agreement at fixed K=13"
"graphon_cut_shape","block","smooth",0.642930856553148,0.428571428571429,"Estimator agreement at fixed K=13"
"graphon_cut_shape","block","spectral",0.481940144478844,0.428571428571429,"Estimator agreement at fixed K=13"
"graphon_cut_shape","smooth","spectral",0.653250773993808,0.666666666666667,"Estimator agreement at fixed K=13"
"graphon_frobenius_raw","block","smooth",0.962848297213622,0.666666666666667,"Estimator agreement at fixed K=13"
"graphon_frobenius_raw","block","spectral",0.876160990712074,1,"Estimator agreement at fixed K=13"
"graphon_frobenius_raw","smooth","spectral",0.886480908152735,0.666666666666667,"Estimator agreement at fixed K=13"
"graphon_frobenius_shape","block","smooth",0.775025799793602,1,"Estimator agreement at fixed K=13"
"graphon_frobenius_shape","block","spectral",0.649122807017544,1,"Estimator agreement at fixed K=13"
"graphon_frobenius_shape","smooth","spectral",0.77296181630547,1,"Estimator agreement at fixed K=13"
"graphon_wasserstein_raw","block","smooth",0.836945304437564,1,"Estimator agreement at fixed K=13"
"graphon_wasserstein_raw","block","spectral",0.682146542827657,0.428571428571429,"Estimator agreement at fixed K=13"
"graphon_wasserstein_raw","smooth","spectral",0.729618163054696,0.428571428571429,"Estimator agreement at fixed K=13"
"graphon_wasserstein_shape","block","smooth",0.47781217750258,0.25,"Estimator agreement at fixed K=13"
"graphon_wasserstein_shape","block","spectral",-0.021671826625387,0,"Estimator agreement at fixed K=13"
"graphon_wasserstein_shape","smooth","spectral",0.46749226006192,0.111111111111111,"Estimator agreement at fixed K=13"
