"channel","comparison_1","comparison_2","spearman_rho","top5_jaccard","analysis"
"estimated_role_instability","13","2",-0.458497098253766,0,"Resolution agreement versus K=13"
"estimated_role_instability","13","4",0.69453044375645,0.25,"Resolution agreement versus K=13"
"estimated_role_instability","13","8",0.564499484004128,0.428571428571429,"Resolution agreement versus K=13"
"graphon_cut_raw","13","2",0.541795665634675,0.25,"Resolution agreement versus K=13"
"graphon_cut_raw","13","4",0.869969040247678,0.666666666666667,"Resolution agreement versus K=13"
"graphon_cut_raw","13","8",0.675954592363261,0.666666666666667,"Resolution agreement versus K=13"
"graphon_cut_shape","13","2",0.442724458204334,0.428571428571429,"Resolution agreement versus K=13"
"graphon_cut_shape","13","4",0.849329205366357,0.428571428571429,"Resolution agreement versus K=13"
"graphon_cut_shape","13","8",-0.00309597523219814,0.111111111111111,"Resolution agreement versus K=13"
"graphon_frobenius_raw","13","2",0.756449948400413,0.666666666666667,"Resolution agreement versus K=13"
"graphon_frobenius_raw","13","4",0.956656346749226,1,"Resolution agreement versus K=13"
"graphon_frobenius_raw","13","8",0.938080495356037,0.666666666666667,"Resolution agreement versus K=13"
"graphon_frobenius_shape","13","2",0.746130030959752,0.666666666666667,"Resolution agreement versus K=13"
"graphon_frobenius_shape","13","4",0.869969040247678,1,"Resolution agreement versus K=13"
"graphon_frobenius_shape","13","8",0.711042311661507,0.666666666666667,"Resolution agreement versus K=13"
"graphon_wasserstein_raw","13","2",0.337461300309598,0.111111111111111,"Resolution agreement versus K=13"
"graphon_wasserstein_raw","13","4",0.636738906088751,0.428571428571429,"Resolution agreement versus K=13"
"graphon_wasserstein_raw","13","8",0.68421052631579,0.428571428571429,"Resolution agreement versus K=13"
"graphon_wasserstein_shape","13","2",0.306501547987616,0.25,"Resolution agreement versus K=13"
"graphon_wasserstein_shape","13","4",0.585139318885449,0.428571428571429,"Resolution agreement versus K=13"
"graphon_wasserstein_shape","13","8",-0.145510835913313,0,"Resolution agreement versus K=13"
