"origin_role_rank","destination_role_rank","observed_weight","observed_weight_share","year"
1,1,72273,0.18742803497889,2018
2,1,8259,0.0214183462827149,2018
3,1,21815,0.0565735832615844,2018
4,1,0,0,2018
5,1,6888,0.0178628852397797,2018
6,1,0,0,2018
7,1,16760,0.0434642794161886,2018
8,1,79406,0.205926287071711,2018
9,1,0,0,2018
10,1,0,0,2018
11,1,0,0,2018
12,1,0,0,2018
13,1,0,0,2018
1,2,6387,0.0165636248586633,2018
2,2,20249,0.0525124220703105,2018
3,2,7109,0.0184360120745635,2018
4,2,0,0,2018
5,2,2229,0.00578054169562556,2018
6,2,0,0,2018
7,2,16757,0.0434564994139065,2018
8,2,31323,0.0812310038277611,2018
9,2,0,0,2018
10,2,0,0,2018
11,2,0,0,2018
12,2,0,0,2018
13,2,0,0,2018
1,3,8651,0.0224349332475804,2018
2,3,1948,0.00505181481519901,2018
3,3,19387,0.050276968081244,2018
4,3,0,0,2018
5,3,2327,0.00603468843684194,2018
6,3,0,0,2018
7,3,10971,0.028451468345764,2018
8,3,37124,0.0962749349073142,2018
9,3,0,0,2018
10,3,0,0,2018
11,3,0,0,2018
12,3,0,0,2018
13,3,0,0,2018
1,4,1026,0.00266076078048983,2018
2,4,459,0.0011903403491665,2018
3,4,792,0.00205392060248338,2018
4,4,0,0,2018
5,4,200,0.000518666818808934,2018
6,4,0,0,2018
7,4,1678,0.00435161460980695,2018
8,4,5211,0.0135138639640668,2018
9,4,0,0,2018
10,4,0,0,2018
11,4,0,0,2018
12,4,0,0,2018
13,4,0,0,2018
1,5,1071,0.00277746081472184,2018
2,5,149,0.000386406780012655,2018
3,5,278,0.000720946878144418,2018
4,5,0,0,2018
5,5,1170,0.00303420089003226,2018
6,5,0,0,2018
7,5,808,0.00209541394798809,2018
8,5,2513,0.00651704857833425,2018
9,5,0,0,2018
10,5,0,0,2018
11,5,0,0,2018
12,5,0,0,2018
13,5,0,0,2018
1,6,106,0.000274893413968735,2018
2,6,17,4.40866795987594e-05,2018
3,6,73,0.000189313388865261,2018
4,6,0,0,2018
5,6,21,5.4460015974938e-05,2018
6,6,0,0,2018
7,6,21,5.4460015974938e-05,2018
8,6,130,0.000337133432225807,2018
9,6,0,0,2018
10,6,0,0,2018
11,6,0,0,2018
12,6,0,0,2018
13,6,0,0,2018
1,7,2,5.18666818808933e-06,2018
2,7,0,0,2018
3,7,1,2.59333409404467e-06,2018
4,7,0,0,2018
5,7,0,0,2018
6,7,0,0,2018
7,7,11,2.85266750344913e-05,2018
8,7,4,1.03733363761787e-05,2018
9,7,0,0,2018
10,7,0,0,2018
11,7,0,0,2018
12,7,0,0,2018
13,7,0,0,2018
1,8,0,0,2018
2,8,0,0,2018
3,8,0,0,2018
4,8,0,0,2018
5,8,0,0,2018
6,8,0,0,2018
7,8,0,0,2018
8,8,0,0,2018
9,8,0,0,2018
10,8,0,0,2018
11,8,0,0,2018
12,8,0,0,2018
13,8,0,0,2018
1,9,0,0,2018
2,9,0,0,2018
3,9,0,0,2018
4,9,0,0,2018
5,9,0,0,2018
6,9,0,0,2018
7,9,0,0,2018
8,9,0,0,2018
9,9,0,0,2018
10,9,0,0,2018
11,9,0,0,2018
12,9,0,0,2018
13,9,0,0,2018
1,10,0,0,2018
2,10,0,0,2018
3,10,0,0,2018
4,10,0,0,2018
5,10,0,0,2018
6,10,0,0,2018
7,10,0,0,2018
8,10,0,0,2018
9,10,0,0,2018
10,10,0,0,2018
11,10,0,0,2018
12,10,0,0,2018
13,10,0,0,2018
1,11,0,0,2018
2,11,0,0,2018
3,11,0,0,2018
4,11,0,0,2018
5,11,0,0,2018
6,11,0,0,2018
7,11,0,0,2018
8,11,0,0,2018
9,11,0,0,2018
10,11,0,0,2018
11,11,0,0,2018
12,11,0,0,2018
13,11,0,0,2018
1,12,0,0,2018
2,12,0,0,2018
3,12,0,0,2018
4,12,0,0,2018
5,12,0,0,2018
6,12,0,0,2018
7,12,0,0,2018
8,12,0,0,2018
9,12,0,0,2018
10,12,0,0,2018
11,12,0,0,2018
12,12,0,0,2018
13,12,0,0,2018
1,13,0,0,2018
2,13,0,0,2018
3,13,0,0,2018
4,13,0,0,2018
5,13,0,0,2018
6,13,0,0,2018
7,13,0,0,2018
8,13,0,0,2018
9,13,0,0,2018
10,13,0,0,2018
11,13,0,0,2018
12,13,0,0,2018
13,13,0,0,2018
