"year","nodeID","nodeLabel","nodeLat","nodeLong","block","block_size","destination_role_rank","origin_role_rank","raw_in_strength","raw_out_strength","fitted_in_mean","fitted_out_mean","fitted_in_rank01","fitted_out_rank01","destination_core_rank","is_destination_core","is_regional_destination_core"
2006,"1","Abai",47.028736,18.517633,10,37,6,9,0,626,0,7.07258687258687,0.436781609195402,0.488505747126437,26,FALSE,FALSE
2006,"2","Abauj-Hegykozi",48.471017,21.2741752,2,32,6,11,0,484,0,4.14071428571428,0.436781609195402,0.192528735632184,100,FALSE,FALSE
2006,"3","Adonyi",47.119574,18.8652611,10,37,6,9,0,672,0,7.07258687258687,0.436781609195402,0.488505747126437,109,FALSE,FALSE
2006,"4","Ajkai",47.1068802,17.563957,5,17,6,10,0,2065,0,5.76840336134454,0.436781609195402,0.333333333333333,118,FALSE,FALSE
2006,"5","Aszodi",47.6523763,19.4759463,10,37,6,9,0,1119,0,7.07258687258687,0.436781609195402,0.488505747126437,127,FALSE,FALSE
2006,"6","Bacsalmasi",46.123955,19.32633,2,32,6,11,0,429,0,4.14071428571428,0.436781609195402,0.192528735632184,136,FALSE,FALSE
2006,"7","Bajai",46.1834182,18.9538158,3,6,5,5,1660,2849,9.5847619047619,22.6028571428571,0.89367816091954,0.89367816091954,19,TRUE,TRUE
2006,"8","Baktaloranthazai",47.997697,22.0766029,5,17,6,10,0,1253,0,5.76840336134454,0.436781609195402,0.333333333333333,155,FALSE,FALSE
2006,"9","Balassagyarmati",48.078798,19.2938953,10,37,6,9,0,2100,0,7.07258687258687,0.436781609195402,0.488505747126437,166,FALSE,FALSE
2006,"10","Balatonalmadi",47.0286976,18.0148627,2,32,6,11,0,1182,0,4.14071428571428,0.436781609195402,0.192528735632184,27,FALSE,FALSE
2006,"11","Balatonfoldvari",46.8497238,17.8794039,2,32,6,11,0,426,0,4.14071428571428,0.436781609195402,0.192528735632184,36,FALSE,FALSE
2006,"12","Balatonfuredi",46.9564612,17.8889631,10,37,6,9,0,1090,0,7.07258687258687,0.436781609195402,0.488505747126437,46,FALSE,FALSE
2006,"13","Balmazujvarosi",47.612435,21.343577,5,17,6,10,0,787,0,5.76840336134454,0.436781609195402,0.333333333333333,56,FALSE,FALSE
2006,"14","Barcsi",45.959228,17.4666786,7,11,6,12,0,707,0,2.43896103896104,0.436781609195402,0.0689655172413793,65,FALSE,FALSE
2006,"15","Batonyterenyei",47.989222,19.828845,10,37,6,9,0,716,0,7.07258687258687,0.436781609195402,0.488505747126437,74,FALSE,FALSE
2006,"16","Bekescsabai",46.6841987,21.0867872,13,21,6,6,0,3410,0,17.1447619047619,0.436781609195402,0.816091954022989,82,FALSE,FALSE
2006,"17","Bekesi",46.6704899,21.0434996,13,21,6,6,0,1820,0,17.1447619047619,0.436781609195402,0.816091954022989,92,FALSE,FALSE
2006,"18","Belapatfalvai",48.052725,20.348591,2,32,6,11,0,359,0,4.14071428571428,0.436781609195402,0.192528735632184,98,FALSE,FALSE
2006,"19","Berettyoujfalui",47.233892,21.5340216,2,32,6,11,0,1666,0,4.14071428571428,0.436781609195402,0.192528735632184,99,FALSE,FALSE
2006,"20","Bicskei",47.490759,18.6362719,10,37,6,9,0,1215,0,7.07258687258687,0.436781609195402,0.488505747126437,101,FALSE,FALSE
2006,"21","Bodrogkozi",48.263291,21.8918689,2,32,6,11,0,437,0,4.14071428571428,0.436781609195402,0.192528735632184,102,FALSE,FALSE
2006,"22","Bonyhadi",46.2986759,18.5305778,10,37,6,9,0,1075,0,7.07258687258687,0.436781609195402,0.488505747126437,103,FALSE,FALSE
2006,"23","Budaorsi",47.460753,18.9581146,3,6,5,5,447,7738,9.5847619047619,22.6028571428571,0.89367816091954,0.89367816091954,22,FALSE,FALSE
2006,"24","Budapesti",47.4984056,19.0407578,11,1,1,1,177803,87521,1016.01714285714,500.12,1,1,1,TRUE,FALSE
2006,"25","Cegledi",47.1772081,19.7980311,13,21,6,6,0,3996,0,17.1447619047619,0.436781609195402,0.816091954022989,104,FALSE,FALSE
2006,"26","Celldomolki",47.257515,17.1526399,2,32,6,11,0,774,0,4.14071428571428,0.436781609195402,0.192528735632184,105,FALSE,FALSE
2006,"27","Csengeri",47.8350105,22.6822754,7,11,6,12,0,493,0,2.43896103896104,0.436781609195402,0.0689655172413793,106,FALSE,FALSE
2006,"28","Csepregi",47.401546,16.7081249,7,11,6,12,0,345,0,2.43896103896104,0.436781609195402,0.0689655172413793,107,FALSE,FALSE
2006,"29","Csongradi",46.710833,20.144575,12,20,6,8,0,848,0,7.51057142857143,0.436781609195402,0.652298850574713,108,FALSE,FALSE
2006,"30","Csornai",47.601529,17.249978,12,20,6,8,0,1066,0,7.51057142857143,0.436781609195402,0.652298850574713,110,FALSE,FALSE
2006,"31","Csurgoi",46.260776,17.095325,2,32,6,11,0,528,0,4.14071428571428,0.436781609195402,0.192528735632184,111,FALSE,FALSE
2006,"32","Dabasi",47.192283,19.330853,10,37,6,9,0,1439,0,7.07258687258687,0.436781609195402,0.488505747126437,112,FALSE,FALSE
2006,"33","Debreceni",47.5299739,21.6393571,6,3,2,3,34371,9496,188.994285714286,49.5733333333333,0.988505747126437,0.971264367816092,2,TRUE,TRUE
2006,"34","Derecske-Letavertesi",47.3824608,21.891967,5,17,6,10,0,1045,0,5.76840336134454,0.436781609195402,0.333333333333333,113,FALSE,FALSE
2006,"35","Devecseri",47.106397,17.437279,4,7,6,13,0,0,0,0,0.436781609195402,0.0172413793103448,114,FALSE,FALSE
2006,"36","Dombovari",46.383295,18.131089,12,20,6,8,0,1187,0,7.51057142857143,0.436781609195402,0.652298850574713,115,FALSE,FALSE
2006,"37","Dorogi",47.7197439,18.7287817,12,20,6,8,0,1203,0,7.51057142857143,0.436781609195402,0.652298850574713,116,FALSE,FALSE
2006,"38","Dunakeszi",47.6297228,19.1380528,9,8,6,7,0,3635,0,15.7464285714286,0.436781609195402,0.732758620689655,117,FALSE,FALSE
2006,"39","Dunaujvarosi",46.980668,18.9127069,13,21,6,6,0,2995,0,17.1447619047619,0.436781609195402,0.816091954022989,18,TRUE,TRUE
2006,"40","Edelenyi",48.2966608,20.7442671,10,37,6,9,0,960,0,7.07258687258687,0.436781609195402,0.488505747126437,119,FALSE,FALSE
2006,"41","Egri",47.9031987,20.3731077,8,9,4,4,12156,4466,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,8,TRUE,TRUE
2006,"42","Encsi",48.330768,21.1219603,5,17,6,10,0,716,0,5.76840336134454,0.436781609195402,0.333333333333333,120,FALSE,FALSE
2006,"43","Enyingi",46.9296,18.242978,2,32,6,11,0,443,0,4.14071428571428,0.436781609195402,0.192528735632184,121,FALSE,FALSE
2006,"44","Ercsi",47.24966,18.891059,10,37,6,9,0,811,0,7.07258687258687,0.436781609195402,0.488505747126437,122,FALSE,FALSE
2006,"45","Erdi",47.3783095,18.9217973,4,7,6,13,0,0,0,0,0.436781609195402,0.0172413793103448,123,FALSE,FALSE
2006,"46","Esztergomi",47.793308,18.7419333,3,6,5,5,1458,2191,9.5847619047619,22.6028571428571,0.89367816091954,0.89367816091954,25,FALSE,FALSE
2006,"47","Fehergyarmati",47.985063,22.517104,2,32,6,11,0,1439,0,4.14071428571428,0.436781609195402,0.192528735632184,124,FALSE,FALSE
2006,"48","Fonyodi",46.749197,17.5558792,12,20,6,8,0,1138,0,7.51057142857143,0.436781609195402,0.652298850574713,125,FALSE,FALSE
2006,"49","Fuzesabonyi",47.750888,20.409611,12,20,6,8,0,989,0,7.51057142857143,0.436781609195402,0.652298850574713,126,FALSE,FALSE
2006,"50","Gardonyi",47.1973503,18.6091412,10,37,6,9,0,1008,0,7.07258687258687,0.436781609195402,0.488505747126437,128,FALSE,FALSE
2006,"51","Godolloi",47.5975105,19.3480017,8,9,4,4,12323,4853,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,5,TRUE,TRUE
2006,"52","Gyali",47.3808958,19.215712,13,21,6,6,0,2350,0,17.1447619047619,0.436781609195402,0.816091954022989,129,FALSE,FALSE
2006,"53","Gyongyosi",47.775028,19.9280689,13,21,6,6,0,2925,0,17.1447619047619,0.436781609195402,0.816091954022989,130,FALSE,FALSE
2006,"54","Gyori",47.684051,17.6351011,1,3,3,2,10903,6960,71.8704761904761,49.6857142857143,0.971264367816092,0.988505747126437,6,TRUE,TRUE
2006,"55","Gyulai",46.642498,21.268809,13,21,6,6,0,2269,0,17.1447619047619,0.436781609195402,0.816091954022989,131,FALSE,FALSE
2006,"56","Hajduboszormenyi",47.673238,21.5076172,9,8,6,7,0,2174,0,15.7464285714286,0.436781609195402,0.732758620689655,132,FALSE,FALSE
2006,"57","Hajduhadhazi",47.68197,21.6685631,2,32,6,11,0,1584,0,4.14071428571428,0.436781609195402,0.192528735632184,133,FALSE,FALSE
2006,"58","Hajduszoboszloi",47.443667,21.389719,2,32,6,11,0,1276,0,4.14071428571428,0.436781609195402,0.192528735632184,134,FALSE,FALSE
2006,"59","Hatvani",47.668122,19.669901,9,8,6,7,0,1892,0,15.7464285714286,0.436781609195402,0.732758620689655,135,FALSE,FALSE
2006,"60","Hevesi",47.5945238,20.2882213,10,37,6,9,0,1093,0,7.07258687258687,0.436781609195402,0.488505747126437,137,FALSE,FALSE
2006,"61","Hevizi",46.7905869,17.1843866,4,7,6,13,0,0,0,0,0.436781609195402,0.0172413793103448,138,FALSE,FALSE
2006,"62","Hodmezovasarhelyi",46.430411,20.3188298,10,37,6,9,0,2080,0,7.07258687258687,0.436781609195402,0.488505747126437,139,FALSE,FALSE
