"from_year","to_year","transition","ARI_all_nodes","ARI_destination_core","ARI_regional_core","mean_abs_fitted_in_rank_shift_all","mean_abs_fitted_in_rank_shift_regional"
2006,2007,"2006-2007",0.209977575503271,0.680851063829787,0.668711656441718,0.000886699507389161,0.00771324863883846
2007,2008,"2007-2008",0.147399903932384,0.582188015393073,0.564885496183206,0.0834154351395731,0.0169388989715668
2008,2009,"2008-2009",0.166748185856859,0.754820100197358,0.746002621231979,0.085615763546798,0.0114942528735632
2009,2010,"2009-2010",0.13607788451272,0.431271275971358,0.399007649369444,0.00722495894909684,0.0176950998185118
2010,2011,"2010-2011",0.194140733604464,0.989343802579921,0.988302893494767,0,0
2011,2012,"2011-2012",0.166234727148002,0.410076157000586,0.378437692888005,0.0019376026272578,0.0167876588021778
2012,2013,"2012-2013",0.15231277335001,0.985763524651581,0.985231885309612,0,0
2013,2014,"2013-2014",0.140356756399037,1,1,0,0
2014,2015,"2014-2015",0.169328551026415,0.579481838302304,0.559411943013034,0.00114942528735632,0.0104355716878403
2015,2016,"2015-2016",0.161609195402299,0.466222396445838,0.441218937609241,0.00692939244663379,0.0400786448880823
2016,2017,"2016-2017",0.173258469024892,0.501723362805335,0.483115985836428,0.0751724137931035,0.0379612825166364
2017,2018,"2017-2018",0.112113271447727,0.329998359849106,0.309901454716096,0.196617405582923,0.0264670296430732
2018,2019,"2018-2019",0.19401179005675,0.244532803180914,0.222137983320697,0.211658456486043,0.0824258923169994
2019,2020,"2019-2020",0.232447664662456,0.458380843785633,0.43620178041543,0.150344827586207,0.014670296430732
2020,2021,"2020-2021",0.165867310222603,0.283018867924528,0.262135922330097,0.154581280788177,0.043859649122807
2021,2022,"2021-2022",0.170536022863575,0.761648745519713,0.755514705882353,0.086568144499179,0.00620084694494859
2022,2023,"2022-2023",0.205742359114093,0.822650902302427,0.816523605150215,0.00039408866995074,0.00362976406533577
2023,2024,"2023-2024",0.268432803338195,0.807747904018502,0.800066811424754,0.00039408866995074,0.00362976406533577
