"from_year","to_year","transition","analysis_dimension","estimator","fixed_K","family","scale","channel","score","evidence_percentile","robust_z"
2006,2007,"2006-2007","conventional",,,"conventional indicator","native indicator scale","indicator_total_weight",0.0239541254342939,0.235294117647059,-0.625073587460628
2006,2007,"2006-2007","conventional",,,"conventional indicator","native indicator scale","indicator_edge_density",0.000131362889983583,0.176470588235294,-1.00444444444445
2006,2007,"2006-2007","conventional",,,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",0.00673464292686529,0.411764705882353,-0.315706977247586
2006,2007,"2006-2007","conventional",,,"conventional indicator","native indicator scale","indicator_in_strength_gini",0.000579581799944107,0.176470588235294,-0.663270933834834
2006,2007,"2006-2007","conventional",,,"conventional indicator","native indicator scale","indicator_out_strength_gini",0.00254435751121451,0.235294117647059,-1.05482291045732
2006,2007,"2006-2007","conventional",,,"conventional indicator","native indicator scale","indicator_effective_destinations",0.00898025058767171,0.294117647058824,-0.936514396061388
2006,2007,"2006-2007","conventional",,,"conventional indicator","native indicator scale","indicator_top10_destination_share",0.00684452034266947,0.470588235294118,-0.140746812299942
2006,2007,"2006-2007","conventional",,,"conventional indicator","native indicator scale","indicator_binary_transitivity",0.00252065738150464,0.176470588235294,-0.688022219948048
2006,2007,"2006-2007","adjacency benchmark",,,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",1861.46997282972,0.411764705882353,-0.174858999073994
2006,2007,"2006-2007","adjacency benchmark",,,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",101.00819436805,0.470588235294118,-0.0336389047324931
2006,2007,"2006-2007","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",46.5530193445947,0.294117647058824,-0.368151888681241
2006,2007,"2006-2007","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.67232363334334,0.176470588235294,-0.972859877435295
2006,2007,"2006-2007","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",2.13095400164695,0.588235294117647,0.151804127468673
2006,2007,"2006-2007","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.0525711058209,0.176470588235294,-1.05796804773841
2006,2007,"2006-2007","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.108615031171861,0.235294117647059,-1.10546135019429
2006,2007,"2006-2007","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.151944709740006,0.705882352941177,0.9290010110231
2006,2007,"2006-2007","estimator","block",13,"structural roles","label-invariant partition","estimated_role_instability",0.790022424496729,0.117647058823529,-1.79950697338164
2006,2007,"2006-2007","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",38.9199871844186,0.294117647058824,-0.185496833873792
2006,2007,"2006-2007","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",0.854564252936186,0.235294117647059,-0.781799949575123
2006,2007,"2006-2007","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",1.11145628494389,0.352941176470588,-0.764872228922366
2006,2007,"2006-2007","estimator","smooth",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",2.37723203328249,0.352941176470588,-0.162746141344775
2006,2007,"2006-2007","estimator","smooth",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.0485804953911277,0.352941176470588,-0.440806391025726
2006,2007,"2006-2007","estimator","smooth",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.0864836937119214,0.411764705882353,-0.145779431408886
2006,2007,"2006-2007","estimator","smooth",13,"structural roles","label-invariant partition","estimated_role_instability",0.0420330595650096,0.264705882352941,-0.620645772617205
2006,2007,"2006-2007","estimator","spectral",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",44.5969133216777,0.117647058823529,-1.10285123762789
2006,2007,"2006-2007","estimator","spectral",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.64126485422858,0.352941176470588,-0.5837761956683
2006,2007,"2006-2007","estimator","spectral",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",2.27311316967434,0.470588235294118,-0.017887104892341
2006,2007,"2006-2007","estimator","spectral",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",2.86837748937745,0.176470588235294,-1.02887138857592
2006,2007,"2006-2007","estimator","spectral",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.107334225933571,0.470588235294118,-0.10231378018246
2006,2007,"2006-2007","estimator","spectral",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.166079729877099,0.588235294117647,0.338338578366885
2006,2007,"2006-2007","estimator","spectral",13,"structural roles","label-invariant partition","estimated_role_instability",0.185391364451748,0.352941176470588,-0.567386478177785
2006,2007,"2006-2007","resolution","block",2,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",34.2191578269823,0.411764705882353,-0.146537535422633
2006,2007,"2006-2007","resolution","block",2,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",0.317779591837182,0.117647058823529,-1.14214280449485
2006,2007,"2006-2007","resolution","block",2,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",0.472097959184047,0.176470588235294,-1.04035215912093
2006,2007,"2006-2007","resolution","block",2,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",1.9013297908742,0.529411764705882,0.0122183815142044
2006,2007,"2006-2007","resolution","block",2,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.011991958811577,0.294117647058824,-0.776158023460101
2006,2007,"2006-2007","resolution","block",2,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.027850451642214,0.294117647058824,-0.652371005438134
2006,2007,"2006-2007","resolution","block",2,"structural roles","label-invariant partition","estimated_role_instability",0,0.323529411764706,0
2006,2007,"2006-2007","resolution","block",4,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",38.0267185349203,0.411764705882353,-0.184717807523393
2006,2007,"2006-2007","resolution","block",4,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",0.917844729703048,0.117647058823529,-1.18750600922651
2006,2007,"2006-2007","resolution","block",4,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",1.245082297191,0.176470588235294,-0.828061023690786
2006,2007,"2006-2007","resolution","block",4,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",2.26778651075903,0.470588235294118,-0.21867087271014
2006,2007,"2006-2007","resolution","block",4,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.0499019422301574,0.176470588235294,-1.04594463726344
2006,2007,"2006-2007","resolution","block",4,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.0844462195152427,0.235294117647059,-0.935021758223408
2006,2007,"2006-2007","resolution","block",4,"structural roles","label-invariant partition","estimated_role_instability",0.333421662406024,0.352941176470588,-1.08235124232575
2006,2007,"2006-2007","resolution","block",8,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",57.271342268509,0.470588235294118,-0.0195028038734886
2006,2007,"2006-2007","resolution","block",8,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",3.37096988056226,0.647058823529412,0.428517061252383
2006,2007,"2006-2007","resolution","block",8,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",3.63558744670194,0.705882352941177,0.936513983574734
2006,2007,"2006-2007","resolution","block",8,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.95977227465398,0.529411764705882,0.0873341131749648
2006,2007,"2006-2007","resolution","block",8,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.239013926780372,0.941176470588235,1.3443286990149
2006,2007,"2006-2007","resolution","block",8,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.267433960277235,0.764705882352941,1.00848689841048
2006,2007,"2006-2007","resolution","block",8,"structural roles","label-invariant partition","estimated_role_instability",0.722069655026218,0.352941176470588,-0.828439273309
2006,2007,"2006-2007","resolution","block",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",46.5530193445947,0.294117647058824,-0.368151888681241
2006,2007,"2006-2007","resolution","block",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.67232363334334,0.176470588235294,-0.972859877435295
2006,2007,"2006-2007","resolution","block",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",2.13095400164695,0.588235294117647,0.151804127468673
2006,2007,"2006-2007","resolution","block",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.0525711058209,0.176470588235294,-1.05796804773841
2006,2007,"2006-2007","resolution","block",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.108615031171861,0.235294117647059,-1.10546135019429
2006,2007,"2006-2007","resolution","block",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.151944709740006,0.705882352941177,0.9290010110231
2006,2007,"2006-2007","resolution","block",13,"structural roles","label-invariant partition","estimated_role_instability",0.790022424496729,0.117647058823529,-1.79950697338164
2007,2008,"2007-2008","conventional",,,"conventional indicator","native indicator scale","indicator_total_weight",0.0391627328222182,0.352941176470588,-0.312079554218919
2007,2008,"2007-2008","conventional",,,"conventional indicator","native indicator scale","indicator_edge_density",0.00821018062397373,0.823529411764706,1.18222222222222
2007,2008,"2007-2008","conventional",,,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",0.0154645309651554,0.823529411764706,1.22802824672561
2007,2008,"2007-2008","conventional",,,"conventional indicator","native indicator scale","indicator_in_strength_gini",0.0043446010207282,1,6.62848608660676
2007,2008,"2007-2008","conventional",,,"conventional indicator","native indicator scale","indicator_out_strength_gini",0.000447270214083417,0.117647058823529,-1.33753315176106
2007,2008,"2007-2008","conventional",,,"conventional indicator","native indicator scale","indicator_effective_destinations",0.0975312661353862,0.88235294117647,2.83931631372746
2007,2008,"2007-2008","conventional",,,"conventional indicator","native indicator scale","indicator_top10_destination_share",0.0259808933010836,1,4.50261137147891
2007,2008,"2007-2008","conventional",,,"conventional indicator","native indicator scale","indicator_binary_transitivity",0.032261221408025,1,15.0318345975427
2007,2008,"2007-2008","adjacency benchmark",,,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",485.874210187274,0.0588235294117647,-1.1921878159611
2007,2008,"2007-2008","adjacency benchmark",,,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",104.659863881094,0.529411764705882,0.0336389047324931
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",38.2505948938675,0.0588235294117647,-1.09581705186864
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.90558860847616,0.411764705882353,-0.566981520062119
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",1.77008686937299,0.294117647058824,-0.588543747693415
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.39008319876621,0.411764705882353,-0.198393741994456
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.148945713925653,0.470588235294118,-0.0265341330455393
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.137381513039746,0.470588235294118,-0.27977151626184
2007,2008,"2007-2008","estimator","block",13,"structural roles","label-invariant partition","estimated_role_instability",0.852600096067616,0.823529411764706,0.88554513559856
2007,2008,"2007-2008","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",16.3378403780491,0.176470588235294,-1.04325854626099
2007,2008,"2007-2008","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.01011293048659,0.411764705882353,-0.589171592693241
