"scenario","scenario_label","effect_label","effect","family","scale","channel","replicates","calibrated_detection_rate","mean_score","median_score","score_q025","score_q975","null_threshold_95"
"density_shift","Global density shift","large",1,"structural roles","label-invariant partition","estimated_role_instability",200,0.005,0.89601462701731,0.901358854042002,0.795386697649192,0.977235198733173,0.991691287431846
"density_shift","Global density shift","large",1,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",200,1,1.01293754476323,1.01125000000001,0.945335783148192,1.09024257254463,0.217562537442136
"density_shift","Global density shift","large",1,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",200,0,0.138082423750368,0.138762747460222,0.116715862660845,0.160352001081693,0.175316396283842
"density_shift","Global density shift","large",1,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",200,1,1.30457265883832,1.29691796110046,1.19551740235201,1.44819677437653,0.660067728143905
"density_shift","Global density shift","large",1,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",200,0.005,0.471425011354216,0.470299024038736,0.402406289561421,0.565360223707496,0.577920598282863
"density_shift","Global density shift","large",1,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",200,1,1.01103113017098,1.009296875,0.94146589285715,1.08759375000002,0.169874751219579
"density_shift","Global density shift","large",1,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",200,0.04,0.104870576084921,0.10432468753425,0.0657751818807578,0.148699548754858,0.147092610054326
"density_shift","Global density shift","large",1,"conventional indicator","native indicator scale","indicator_binary_transitivity",200,1,0.268780146947383,0.268374553171491,0.248395984022215,0.29168028566153,0.0239801659950453
"density_shift","Global density shift","large",1,"conventional indicator","native indicator scale","indicator_edge_density",200,1,0.240075158227848,0.240110759493671,0.225621044303798,0.255882120253165,0.0159889240506329
"density_shift","Global density shift","large",1,"conventional indicator","native indicator scale","indicator_effective_destinations",200,0.22,0.0148962788025866,0.0145314731754977,0.0013420440624609,0.0317959862661295,0.0212173104812073
"density_shift","Global density shift","large",1,"conventional indicator","native indicator scale","indicator_in_strength_gini",200,0.2,0.0234329461697444,0.0225896679804931,0.0016905092385364,0.0484627608484665,0.0340800096386451
"density_shift","Global density shift","large",1,"conventional indicator","native indicator scale","indicator_out_strength_gini",200,0.385,0.0284484263396529,0.0285671213808255,0.00331067107587092,0.0532766372518997,0.0326812569457221
"density_shift","Global density shift","large",1,"conventional indicator","native indicator scale","indicator_top10_destination_share",200,0.125,0.0119693529884916,0.0106155773237806,0.000714420200443999,0.0304628866799642,0.0218795240206667
"density_shift","Global density shift","large",1,"conventional indicator","native indicator scale","indicator_total_weight",200,1,0.64180929530373,0.639659440896056,0.59305727657874,0.695094222386889,0.0710006686478987
"density_shift","Global density shift","large",1,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",200,1,0.207179263964887,0.207276229580405,0.175112217662376,0.235413938320138,0.0380365767076742
"density_shift","Global density shift","large",1,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",200,1,29.8706257621515,29.8718757397332,27.4605357393176,33.2354344627196,4.09260438547839
"density_shift","Global density shift","large",1,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",200,1,12.2629200545129,12.16922597249,10.9707751025908,13.9179417291595,2.86333377600237
"density_shift","Global density shift","medium",0.5,"structural roles","label-invariant partition","estimated_role_instability",200,0.035,0.913353057630816,0.918498222538602,0.821104311944865,0.994030350585434,0.991691287431846
"density_shift","Global density shift","medium",0.5,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",200,1,0.534838149916162,0.532531924636416,0.467893496771644,0.605946655082618,0.217562537442136
"density_shift","Global density shift","medium",0.5,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",200,0.005,0.144298906396471,0.144989547126231,0.124060686712775,0.166898220291344,0.175316396283842
"density_shift","Global density shift","medium",0.5,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",200,1,0.848297928475749,0.853009963744902,0.756796696381339,0.963679200176803,0.660067728143905
"density_shift","Global density shift","medium",0.5,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",200,0.015,0.48401369267408,0.481243059376178,0.421865523922014,0.561178815516378,0.577920598282863
"density_shift","Global density shift","medium",0.5,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",200,1,0.509086781147394,0.50988029958996,0.429464843750007,0.583163519021732,0.169874751219579
"density_shift","Global density shift","medium",0.5,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",200,0.065,0.105098412947716,0.103961467385853,0.0638629273375198,0.163680268281453,0.147092610054326
"density_shift","Global density shift","medium",0.5,"conventional indicator","native indicator scale","indicator_binary_transitivity",200,1,0.150308143856442,0.149585592893101,0.127344895151144,0.175866409440195,0.0239801659950453
"density_shift","Global density shift","medium",0.5,"conventional indicator","native indicator scale","indicator_edge_density",200,1,0.119861550632911,0.11993670886076,0.106000791139241,0.134339398734177,0.0159889240506329
"density_shift","Global density shift","medium",0.5,"conventional indicator","native indicator scale","indicator_effective_destinations",200,0.085,0.0106586311805768,0.00885007452645103,0.000621810634348408,0.0290237686600608,0.0212173104812073
"density_shift","Global density shift","medium",0.5,"conventional indicator","native indicator scale","indicator_in_strength_gini",200,0.1,0.0167702424787716,0.0137660666650975,0.00128763832393921,0.0441901507140772,0.0340800096386451
"density_shift","Global density shift","medium",0.5,"conventional indicator","native indicator scale","indicator_out_strength_gini",200,0.17,0.0197722632402006,0.0178002862849121,0.00153830373614939,0.0459613780207237,0.0326812569457221
"density_shift","Global density shift","medium",0.5,"conventional indicator","native indicator scale","indicator_top10_destination_share",200,0.08,0.00955168493178648,0.00825269914462981,0.000341310579001106,0.0251371606865137,0.0218795240206667
"density_shift","Global density shift","medium",0.5,"conventional indicator","native indicator scale","indicator_total_weight",200,1,0.371583120979579,0.372312600123914,0.310945596650146,0.425345907821836,0.0710006686478987
"density_shift","Global density shift","medium",0.5,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",200,1,0.104311728708651,0.103904045079308,0.074753286830406,0.134316881617299,0.0380365767076742
"density_shift","Global density shift","medium",0.5,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",200,1,15.1537138738392,15.1072433465469,11.3873460756051,18.085424650507,4.09260438547839
"density_shift","Global density shift","medium",0.5,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",200,1,7.4586150002364,7.37011847463114,6.19001756249884,8.7817199728395,2.86333377600237
"density_shift","Global density shift","small",0.25,"structural roles","label-invariant partition","estimated_role_instability",200,0.025,0.929443175363948,0.934432149939224,0.846749461584199,0.990635423408883,0.991691287431846
"density_shift","Global density shift","small",0.25,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",200,1,0.330314745767256,0.325761427358731,0.27963163470918,0.397659463048813,0.217562537442136
"density_shift","Global density shift","small",0.25,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",200,0.01,0.148499512129535,0.148474183363945,0.125546659331441,0.170835713999118,0.175316396283842
"density_shift","Global density shift","small",0.25,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",200,0.505,0.664315672781146,0.660564639723118,0.574315587495605,0.786852265101966,0.660067728143905
"density_shift","Global density shift","small",0.25,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",200,0.02,0.485873343235738,0.481088073305708,0.412507338680998,0.574803930938067,0.577920598282863
"density_shift","Global density shift","small",0.25,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",200,1,0.269770889189979,0.267177508968721,0.201509019647765,0.345517582991794,0.169874751219579
"density_shift","Global density shift","small",0.25,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",200,0.03,0.101556386213582,0.097827290626579,0.0665936606329207,0.148285781143412,0.147092610054326
"density_shift","Global density shift","small",0.25,"conventional indicator","native indicator scale","indicator_binary_transitivity",200,1,0.0801919670596273,0.0820230394157828,0.0564797206009249,0.10229868446947,0.0239801659950453
"density_shift","Global density shift","small",0.25,"conventional indicator","native indicator scale","indicator_edge_density",200,1,0.060557753164557,0.0606012658227848,0.0442879746835443,0.0745530063291139,0.0159889240506329
"density_shift","Global density shift","small",0.25,"conventional indicator","native indicator scale","indicator_effective_destinations",200,0.065,0.00913427632241374,0.00781056716071982,0.00045099188110449,0.027198468778997,0.0212173104812073
"density_shift","Global density shift","small",0.25,"conventional indicator","native indicator scale","indicator_in_strength_gini",200,0.055,0.0145996051105854,0.0130436459972137,0.000505767963819209,0.0454562408827532,0.0340800096386451
"density_shift","Global density shift","small",0.25,"conventional indicator","native indicator scale","indicator_out_strength_gini",200,0.085,0.0149275801021866,0.0131184564690615,0.000614161430693583,0.0422132694687249,0.0326812569457221
"density_shift","Global density shift","small",0.25,"conventional indicator","native indicator scale","indicator_top10_destination_share",200,0.06,0.00932714635977052,0.00823038884558111,0.000420002973244365,0.0268828380498026,0.0218795240206667
"density_shift","Global density shift","small",0.25,"conventional indicator","native indicator scale","indicator_total_weight",200,1,0.205140767100685,0.203725161311851,0.146482531720644,0.264769323425725,0.0710006686478987
"density_shift","Global density shift","small",0.25,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",200,0.82,0.0542815205358204,0.0536517513644795,0.0232708773284458,0.0836159504681955,0.0380365767076742
"density_shift","Global density shift","small",0.25,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",200,0.99,7.90364942871472,7.76051137368561,4.91584629202475,10.9855578514423,4.09260438547839
"density_shift","Global density shift","small",0.25,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",200,0.975,4.3695045917571,4.38066832481132,2.87767071146905,6.08034958334611,2.86333377600237
"destination_attraction","Destination-attraction shock","large",1,"structural roles","label-invariant partition","estimated_role_instability",200,0.12,0.952476983145163,0.9590163114596,0.863652868008395,1.00752289984712,0.991691287431846
