"origin_block","destination_block","expected_weight","scenario","scenario_label","state","effect_label","effect"
1,1,2.85,"global_scale","Global volume scaling","Baseline","medium",0.5
2,1,1.2,"global_scale","Global volume scaling","Baseline","medium",0.5
3,1,0.768,"global_scale","Global volume scaling","Baseline","medium",0.5
4,1,0.504,"global_scale","Global volume scaling","Baseline","medium",0.5
1,2,1.056,"global_scale","Global volume scaling","Baseline","medium",0.5
2,2,2.35125,"global_scale","Global volume scaling","Baseline","medium",0.5
3,2,1.036,"global_scale","Global volume scaling","Baseline","medium",0.5
4,2,0.682,"global_scale","Global volume scaling","Baseline","medium",0.5
1,3,0.612,"global_scale","Global volume scaling","Baseline","medium",0.5
2,3,0.76,"global_scale","Global volume scaling","Baseline","medium",0.5
3,3,1.9,"global_scale","Global volume scaling","Baseline","medium",0.5
4,3,1.26,"global_scale","Global volume scaling","Baseline","medium",0.5
1,4,0.312,"global_scale","Global volume scaling","Baseline","medium",0.5
2,4,0.464,"global_scale","Global volume scaling","Baseline","medium",0.5
3,4,0.7,"global_scale","Global volume scaling","Baseline","medium",0.5
4,4,1.5295,"global_scale","Global volume scaling","Baseline","medium",0.5
1,1,4.63125,"global_scale","Global volume scaling","Changed","medium",0.5
2,1,1.875,"global_scale","Global volume scaling","Changed","medium",0.5
3,1,1.164,"global_scale","Global volume scaling","Changed","medium",0.5
4,1,0.747,"global_scale","Global volume scaling","Changed","medium",0.5
1,2,1.683,"global_scale","Global volume scaling","Changed","medium",0.5
2,2,3.7940625,"global_scale","Global volume scaling","Changed","medium",0.5
3,2,1.603,"global_scale","Global volume scaling","Changed","medium",0.5
4,2,1.0285,"global_scale","Global volume scaling","Changed","medium",0.5
1,3,0.936,"global_scale","Global volume scaling","Changed","medium",0.5
2,3,1.18,"global_scale","Global volume scaling","Changed","medium",0.5
3,3,3.04,"global_scale","Global volume scaling","Changed","medium",0.5
4,3,1.98,"global_scale","Global volume scaling","Changed","medium",0.5
1,4,0.456,"global_scale","Global volume scaling","Changed","medium",0.5
2,4,0.692,"global_scale","Global volume scaling","Changed","medium",0.5
3,4,1.075,"global_scale","Global volume scaling","Changed","medium",0.5
4,4,2.42725,"global_scale","Global volume scaling","Changed","medium",0.5
1,1,2.85,"density_shift","Global density shift","Baseline","medium",0.5
2,1,1.2,"density_shift","Global density shift","Baseline","medium",0.5
3,1,0.768,"density_shift","Global density shift","Baseline","medium",0.5
4,1,0.504,"density_shift","Global density shift","Baseline","medium",0.5
1,2,1.056,"density_shift","Global density shift","Baseline","medium",0.5
2,2,2.35125,"density_shift","Global density shift","Baseline","medium",0.5
3,2,1.036,"density_shift","Global density shift","Baseline","medium",0.5
4,2,0.682,"density_shift","Global density shift","Baseline","medium",0.5
1,3,0.612,"density_shift","Global density shift","Baseline","medium",0.5
2,3,0.76,"density_shift","Global density shift","Baseline","medium",0.5
3,3,1.9,"density_shift","Global density shift","Baseline","medium",0.5
4,3,1.26,"density_shift","Global density shift","Baseline","medium",0.5
1,4,0.312,"density_shift","Global density shift","Baseline","medium",0.5
2,4,0.464,"density_shift","Global density shift","Baseline","medium",0.5
3,4,0.7,"density_shift","Global density shift","Baseline","medium",0.5
4,4,1.5295,"density_shift","Global density shift","Baseline","medium",0.5
1,1,4.1325,"density_shift","Global density shift","Changed","medium",0.5
2,1,1.74,"density_shift","Global density shift","Changed","medium",0.5
3,1,1.1136,"density_shift","Global density shift","Changed","medium",0.5
4,1,0.7308,"density_shift","Global density shift","Changed","medium",0.5
1,2,1.5312,"density_shift","Global density shift","Changed","medium",0.5
2,2,3.4093125,"density_shift","Global density shift","Changed","medium",0.5
3,2,1.5022,"density_shift","Global density shift","Changed","medium",0.5
4,2,0.9889,"density_shift","Global density shift","Changed","medium",0.5
1,3,0.8874,"density_shift","Global density shift","Changed","medium",0.5
2,3,1.102,"density_shift","Global density shift","Changed","medium",0.5
3,3,2.755,"density_shift","Global density shift","Changed","medium",0.5
4,3,1.827,"density_shift","Global density shift","Changed","medium",0.5
1,4,0.4524,"density_shift","Global density shift","Changed","medium",0.5
2,4,0.6728,"density_shift","Global density shift","Changed","medium",0.5
3,4,1.015,"density_shift","Global density shift","Changed","medium",0.5
4,4,2.217775,"density_shift","Global density shift","Changed","medium",0.5
1,1,2.85,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
2,1,1.2,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
3,1,0.768,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
4,1,0.504,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
1,2,1.056,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
2,2,2.35125,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
3,2,1.036,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
4,2,0.682,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
1,3,0.612,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
2,3,0.76,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
3,3,1.9,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
4,3,1.26,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
1,4,0.312,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
2,4,0.464,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
3,4,0.7,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
4,4,1.5295,"destination_attraction","Destination-attraction shock","Baseline","medium",0.5
1,1,6.020625,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
2,1,2.4375,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
3,1,1.5132,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
4,1,0.9711,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
1,2,1.056,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
2,2,2.35125,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
3,2,1.036,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
4,2,0.682,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
1,3,0.612,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
2,3,0.76,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
3,3,1.9,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
4,3,1.26,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
1,4,0.312,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
2,4,0.464,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
3,4,0.7,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
4,4,1.5295,"destination_attraction","Destination-attraction shock","Changed","medium",0.5
1,1,2.85,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
2,1,1.2,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
3,1,0.768,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
4,1,0.504,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
1,2,1.056,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
2,2,2.35125,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
3,2,1.036,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
4,2,0.682,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
1,3,0.612,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
2,3,0.76,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
3,3,1.9,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
4,3,1.26,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
1,4,0.312,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
2,4,0.464,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
3,4,0.7,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
4,4,1.5295,"directional_shift","Directional asymmetry shift","Baseline","medium",0.5
1,1,2.85,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
2,1,0.6975,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
3,1,1.746,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
4,1,0.504,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
1,2,2.5245,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
2,2,2.35125,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
3,2,1.036,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
4,2,0.682,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
1,3,0.3618,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
2,3,0.76,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
3,3,1.9,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
4,3,1.26,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
1,4,0.312,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
2,4,0.464,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
3,4,0.7,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
4,4,1.5295,"directional_shift","Directional asymmetry shift","Changed","medium",0.5
1,1,2.85,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
2,1,1.2,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
3,1,0.768,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
4,1,0.504,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
1,2,1.056,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
2,2,2.35125,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
3,2,1.036,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
4,2,0.682,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
1,3,0.612,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
2,3,0.76,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
3,3,1.9,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
4,3,1.26,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
1,4,0.312,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
2,4,0.464,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
3,4,0.7,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
4,4,1.5295,"local_block_shock","Localized block-pair shock","Baseline","medium",0.5
1,1,2.85,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
2,1,1.2,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
3,1,0.768,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
4,1,0.504,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
1,2,1.056,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
2,2,2.35125,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
3,2,1.036,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
4,2,0.682,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
1,3,0.612,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
2,3,0.76,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
3,3,1.9,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
4,3,1.26,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
1,4,0.312,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
2,4,0.464,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
