"channel","scenario","scenario_label","effect_label","effect","replicate","seed","known_role_instability","family","scale","score","null_threshold_95","null_median","null_mad","detected"
"estimated_role_instability","local_block_shock","Localized block-pair shock","small",0.25,114,20862931,0,"structural roles","label-invariant partition",0.883517081978586,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","local_block_shock","Localized block-pair shock","small",0.25,110,20862927,0,"structural roles","label-invariant partition",0.998583736343172,0.991691287431846,0.94573268599011,0.0218816600202011,TRUE
"estimated_role_instability","directional_shift","Directional asymmetry shift","small",0.25,133,20762950,0,"structural roles","label-invariant partition",0.986218902468228,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","local_block_shock","Localized block-pair shock","small",0.25,111,20862928,0,"structural roles","label-invariant partition",0.952750910298607,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","directional_shift","Directional asymmetry shift","small",0.25,157,20762974,0,"structural roles","label-invariant partition",0.899045894310093,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","local_block_shock","Localized block-pair shock","small",0.25,109,20862926,0,"structural roles","label-invariant partition",0.954751925427485,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","local_block_shock","Localized block-pair shock","small",0.25,112,20862929,0,"structural roles","label-invariant partition",0.971044938228248,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","directional_shift","Directional asymmetry shift","small",0.25,128,20762945,0,"structural roles","label-invariant partition",0.877207179156844,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","directional_shift","Directional asymmetry shift","small",0.25,162,20762979,0,"structural roles","label-invariant partition",0.873563342755515,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","local_block_shock","Localized block-pair shock","small",0.25,107,20862924,0,"structural roles","label-invariant partition",0.872602699868854,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","local_block_shock","Localized block-pair shock","small",0.25,117,20862934,0,"structural roles","label-invariant partition",0.914512307962286,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","directional_shift","Directional asymmetry shift","small",0.25,140,20762957,0,"structural roles","label-invariant partition",0.888539065305925,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","local_block_shock","Localized block-pair shock","small",0.25,115,20862932,0,"structural roles","label-invariant partition",0.981723193453488,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","local_block_shock","Localized block-pair shock","small",0.25,108,20862925,0,"structural roles","label-invariant partition",0.985283408863987,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
"estimated_role_instability","directional_shift","Directional asymmetry shift","small",0.25,159,20762976,0,"structural roles","label-invariant partition",0.895531342491822,0.991691287431846,0.94573268599011,0.0218816600202011,FALSE
