"from" "to" "weight"
1 7 4
1 23 10
1 24 250
1 33 47
1 41 6
1 51 29
1 54 56
1 68 24
1 72 1
1 97 7
1 108 1
1 109 29
1 118 93
1 136 61
1 140 42
1 157 8
1 165 2
1 170 115
2 24 215
2 33 108
2 41 33
2 51 14
2 54 1
2 97 183
2 108 54
2 109 3
2 136 4
2 140 4
2 157 2
2 170 2
3 7 4
3 23 6
3 24 337
3 33 153
3 41 8
3 51 43
3 54 8
3 68 20
3 72 1
3 97 6
3 108 1
3 109 39
3 118 63
3 136 25
3 140 46
3 152 1
3 157 11
3 165 1
3 170 48
4 23 7
4 24 500
4 33 13
4 41 5
4 51 21
4 54 223
4 68 11
4 72 4
4 97 1
4 108 2
4 109 13
4 118 111
4 136 196
4 140 30
4 152 2
4 157 4
4 165 1
4 170 451
5 7 1
5 23 3
5 24 797
5 33 50
5 41 59
5 51 364
5 54 4
5 68 20
5 72 1
5 97 13
5 108 4
5 109 29
5 118 33
5 136 24
5 140 45
5 152 6
5 157 5
5 165 36
5 170 7
6 7 88
6 23 4
6 24 104
6 33 11
6 41 2
6 51 14
6 54 6
6 68 10
6 97 1
6 109 3
6 118 69
6 136 1
6 140 214
6 152 3
6 157 3
6 170 7
7 7 648
7 23 30
7 24 1011
7 33 54
7 41 11
7 51 98
7 54 22
7 68 92
7 72 5
7 97 2
7 109 39
7 118 779
7 136 48
7 140 757
7 152 12
7 157 15
7 170 69
8 23 1
8 24 305
8 33 477
8 41 4
8 51 16
8 54 2
8 68 1
8 97 92
8 108 504
8 109 1
8 118 10
8 136 2
8 140 16
8 152 9
8 157 4
8 165 5
8 170 16
9 23 13
9 24 1194
9 33 72
9 41 193
9 51 235
9 54 34
9 68 17
9 72 7
9 97 26
9 108 9
9 109 69
9 118 45
9 136 25
9 140 47
9 152 3
9 157 14
9 165 72
9 170 23
10 23 5
10 24 468
10 33 21
10 41 6
10 51 17
10 54 77
10 68 16
10 72 1
10 97 3
10 109 27
10 118 104
10 136 130
10 140 22
10 152 1
10 157 7
10 165 1
10 170 389
11 23 2
11 24 183
11 33 9
11 51 14
11 54 11
11 68 23
11 109 6
11 118 46
11 136 22
11 140 7
11 157 5
11 170 31
12 7 4
12 23 3
12 24 590
12 33 25
12 41 7
12 51 39
12 54 88
12 68 13
12 72 3
12 97 11
12 108 4
12 109 12
12 118 72
12 136 104
12 140 27
12 157 14
12 170 284
13 24 179
13 33 598
13 41 66
13 51 15
13 54 3
13 72 1
13 97 34
13 108 67
13 109 8
13 118 1
13 136 1
13 140 19
13 152 5
13 170 1
14 24 168
14 33 2
14 41 2
14 51 3
14 54 9
14 68 98
14 108 2
14 109 13
14 118 347
14 136 33
14 140 18
14 152 1
14 157 2
14 165 1
14 170 23
15 23 3
15 24 372
15 33 50
15 41 100
15 51 74
15 54 9
15 68 4
15 72 1
15 97 26
15 108 6
15 109 9
15 118 9
15 136 10
15 140 17
15 152 4
15 157 5
15 165 6
15 170 5
16 7 8
16 23 13
16 24 1392
16 33 334
16 41 42
16 51 866
16 54 33
16 68 69
16 72 1
16 97 31
16 108 41
16 109 61
16 118 86
16 136 35
16 140 1158
16 152 43
16 157 6
16 165 5
16 170 11
17 7 3
17 23 1
17 24 367
17 33 145
17 41 23
17 51 402
17 54 14
17 68 29
17 72 1
17 97 7
17 108 9
17 109 25
17 118 22
17 136 20
17 140 427
17 152 28
17 157 2
17 170 5
18 23 1
18 24 201
18 33 63
18 41 125
18 51 19
18 54 2
18 68 3
18 72 2
18 97 45
18 108 6
18 109 2
18 118 3
18 136 6
18 140 3
18 152 4
18 157 1
18 165 1
18 170 1
19 7 2
19 23 3
19 24 286
19 33 996
19 41 33
19 51 92
19 54 5
19 68 6
19 72 1
19 97 47
19 108 75
19 109 22
19 118 19
19 136 3
19 140 76
19 152 32
19 157 7
19 165 2
20 7 2
20 23 10
20 24 1010
20 33 56
20 41 25
20 51 98
20 54 69
20 68 17
20 72 3
20 97 3
20 108 4
20 109 76
20 118 74
20 136 86
20 140 37
20 152 3
20 157 56
20 165 18
20 170 70
21 23 2
21 24 139
21 33 146
21 41 23
21 51 9
21 68 1
21 97 149
21 108 85
21 109 3
21 118 4
21 136 3
21 140 4
21 157 2
22 7 11
22 23 13
22 24 263
22 33 43
22 41 5
22 51 15
22 54 12
22 68 37
22 72 2
22 97 1
22 108 1
22 109 12
22 118 583
22 136 10
22 140 56
22 152 1
22 157 3
22 170 44
23 7 3
23 23 26
23 24 4981
23 33 112
23 41 74
23 51 278
23 54 85
23 68 28
23 72 11
23 97 27
23 108 12
23 109 165
23 118 172
23 136 94
23 140 162
23 152 13
23 157 61
23 165 48
23 170 64
24 7 72
24 23 664
24 24 83324
24 33 2443
24 41 1208
24 51 7796
24 54 1250
24 68 571
24 72 123
24 97 685
24 108 240
24 109 3326
24 118 2519
24 136 1426
24 140 2844
24 152 257
24 157 928
24 165 793
24 170 707
25 7 7
25 23 41
25 24 2151
25 33 251
25 41 102
25 51 270
25 54 36
25 68 365
25 72 4
25 97 43
25 108 24
25 109 67
25 118 93
25 136 30
25 140 797
25 152 300
25 157 38
25 165 13
25 170 21
26 24 283
26 33 3
26 41 2
26 51 12
26 54 157
26 68 5
26 97 2
26 109 11
26 118 70
26 136 290
26 140 12
26 157 2
26 165 2
26 170 155
27 24 103
27 33 243
27 41 6
27 51 5
27 54 3
27 97 16
27 108 130
27 109 9
27 118 1
27 140 6
27 152 1
27 170 2
28 24 119
28 33 2
28 41 1
28 51 6
28 54 55
28 68 2
28 72 1
28 97 4
28 109 3
28 118 23
28 136 216
28 140 1
28 157 1
28 170 21
29 7 7
29 23 4
29 24 233
29 33 29
29 41 13
29 51 44
29 54 7
29 68 58
29 72 3
29 97 5
29 108 3
29 109 11
29 118 11
29 136 9
29 140 483
29 152 32
29 157 2
29 170 4
30 24 264
30 33 16
30 41 2
30 51 9
30 54 413
30 68 8
30 97 5
30 108 1
30 109 3
30 118 52
30 136 434
30 140 18
30 152 1
30 157 1
30 165 1
30 170 40
31 7 2
31 23 2
31 24 176
31 33 2
31 41 1
31 51 8
31 54 8
31 68 74
31 72 1
31 97 4
31 109 5
31 118 207
31 136 36
31 140 8
31 170 72
32 7 2
32 23 30
32 24 960
32 33 48
32 41 24
32 51 99
32 54 18
32 68 116
32 97 7
32 108 6
32 109 57
32 118 39
32 136 25
32 140 134
32 152 14
32 157 21
32 165 11
32 170 13
33 23 8
33 24 2579
33 33 8377
33 41 180
33 51 121
33 54 40
33 68 15
33 72 3
33 97 233
33 108 564
33 109 41
33 118 79
33 136 40
33 140 232
33 152 70
33 157 27
33 165 2
33 170 20
34 23 2
34 24 151
34 33 873
34 41 38
34 51 19
34 54 1
34 68 2
34 72 1
34 97 31
34 108 52
34 109 8
34 118 10
34 136 10
34 140 31
34 152 3
34 170 2
35 23 1
35 24 112
35 33 6
35 51 2
35 54 67
35 68 2
35 97 2
35 109 3
35 118 17
35 136 70
35 140 4
35 157 1
35 165 3
35 170 72
36 7 5
36 23 3
36 24 352
36 33 9
36 41 5
36 51 23
36 54 13
36 68 220
36 108 2
36 109 18
36 118 663
36 136 17
36 140 23
36 152 2
36 157 2
36 170 54
37 23 12
37 24 1018
37 33 58
37 41 39
37 51 78
37 54 117
37 68 11
37 72 1
37 97 9
37 108 4
37 109 35
37 118 43
37 136 47
37 140 50
37 157 30
37 165 9
37 170 24
38 7 6
38 23 16
38 24 3277
38 33 121
38 41 71
38 51 444
38 54 51
38 68 27
38 72 14
38 97 45
38 108 7
38 109 183
38 118 95
38 136 64
38 140 104
38 152 7
38 157 35
38 165 116
38 170 34
39 7 4
39 23 27
39 24 1359
39 33 1043
39 41 26
39 51 103
39 54 79
39 68 87
39 72 2
39 97 30
39 108 1
39 109 83
39 118 408
39 136 90
39 140 138
39 152 4
39 157 26
39 165 4
39 170 125
40 23 1
40 24 222
40 33 194
40 41 119
40 51 29
40 54 12
40 68 8
40 97 411
40 108 61
40 109 11
40 118 9
40 136 9
40 140 17
40 152 5
40 157 2
40 165 1
40 170 3
41 7 1
41 23 1
41 24 2211
41 33 518
41 41 1571
41 51 194
41 54 24
41 68 31
41 72 6
41 97 375
41 108 28
41 109 46
41 118 77
41 136 43
41 140 107
41 152 20
41 157 11
41 165 3
41 170 18
42 24 260
42 33 135
42 41 48
42 51 11
42 54 8
42 68 1
42 97 293
42 108 64
42 109 3
42 118 1
42 136 3
42 140 7
42 152 1
42 157 2
42 170 1
43 23 2
43 24 207
43 33 41
43 51 24
43 54 39
43 68 23
43 97 4
43 108 1
43 109 48
43 118 91
43 136 34
43 140 33
43 152 1
43 165 3
43 170 105
44 7 5
44 23 5
44 24 642
44 33 82
44 41 5
44 51 54
44 54 10
44 68 7
44 72 1
44 97 16
44 108 1
44 109 41
44 118 45
44 136 35
44 140 26
44 157 5
44 165 15
44 170 27
45 7 6
45 23 48
45 24 4379
45 33 285
45 41 57
45 51 340
45 54 70
45 68 37
45 72 7
45 97 30
45 108 6
45 109 229
45 118 215
45 136 80
45 140 157
45 152 10
45 157 50
45 165 51
