"metric","metric_role","fixed_K","year_pair","distance"
"frobenius","primary",2,"2006-2007",34.2191578269823
"frobenius","primary",2,"2007-2008",9.02339452717262
"frobenius","primary",2,"2008-2009",26.4626328999898
"frobenius","primary",2,"2009-2010",59.5986440560593
"frobenius","primary",2,"2010-2011",13.4320553503465
"frobenius","primary",2,"2011-2012",91.9856741890095
"frobenius","primary",2,"2012-2013",60.2846515305477
"frobenius","primary",2,"2013-2014",39.1477510542516
"frobenius","primary",2,"2014-2015",10.257892870585
"frobenius","primary",2,"2015-2016",12.5849119092321
"frobenius","primary",2,"2016-2017",43.04159866755
"frobenius","primary",2,"2017-2018",94.6577035168464
"frobenius","primary",2,"2018-2019",417.11207244297
"frobenius","primary",2,"2019-2020",26.7325599722555
"frobenius","primary",2,"2020-2021",391.958588608949
"frobenius","primary",2,"2021-2022",392.452747055986
"frobenius","primary",2,"2022-2023",36.1562285721116
"frobenius","primary",2,"2023-2024",24.997339748072
"cut","primary",2,"2006-2007",0.317779591837182
"cut","primary",2,"2007-2008",0.671934693877164
"cut","primary",2,"2008-2009",1.56646530612268
"cut","primary",2,"2009-2010",1.90893061224606
"cut","primary",2,"2010-2011",0.324440816326552
"cut","primary",2,"2011-2012",2.73756734693959
"cut","primary",2,"2012-2013",2.02938775509915
"cut","primary",2,"2013-2014",0.533779591836393
"cut","primary",2,"2014-2015",0.10119183673498
"cut","primary",2,"2015-2016",0.252375510204079
"cut","primary",2,"2016-2017",0.445583673469227
"cut","primary",2,"2017-2018",1.3349551020425
"cut","primary",2,"2018-2019",11.296005942603
"cut","primary",2,"2019-2020",2.40432108843529
"cut","primary",2,"2020-2021",9.72261217452555
"cut","primary",2,"2021-2022",10.2551182869207
"cut","primary",2,"2022-2023",3.55555918367313
"cut","primary",2,"2023-2024",1.83162103737937
"wasserstein","secondary",2,"2006-2007",0.472097959184047
"wasserstein","secondary",2,"2007-2008",0.828244897959257
"wasserstein","secondary",2,"2008-2009",1.56646530612183
"wasserstein","secondary",2,"2009-2010",1.90893061224507
"wasserstein","secondary",2,"2010-2011",0.324440816326363
"wasserstein","secondary",2,"2011-2012",2.73756734693976
"wasserstein","secondary",2,"2012-2013",2.02938775510215
"wasserstein","secondary",2,"2013-2014",0.548734693877895
"wasserstein","secondary",2,"2014-2015",0.163200000000306
"wasserstein","secondary",2,"2015-2016",0.417893877550915
"wasserstein","secondary",2,"2016-2017",0.622563265306044
"wasserstein","secondary",2,"2017-2018",1.33495510204095
"wasserstein","secondary",2,"2018-2019",16.4415818273193
"wasserstein","secondary",2,"2019-2020",2.41976311202432
"wasserstein","secondary",2,"2020-2021",12.9393033769277
"wasserstein","secondary",2,"2021-2022",12.8716209467576
"wasserstein","secondary",2,"2022-2023",3.56555488025234
"wasserstein","secondary",2,"2023-2024",2.98175699099853
"jensen_shannon","exploratory",2,"2006-2007",0.0001644866502198
"jensen_shannon","exploratory",2,"2007-2008",0.000455724176236314
"jensen_shannon","exploratory",2,"2008-2009",8.18070535312972e-05
"jensen_shannon","exploratory",2,"2009-2010",4.27566340703173e-05
"jensen_shannon","exploratory",2,"2010-2011",4.94417771369733e-06
"jensen_shannon","exploratory",2,"2011-2012",0.00100426018830474
"jensen_shannon","exploratory",2,"2012-2013",0.000129854272823733
"jensen_shannon","exploratory",2,"2013-2014",0.000132622316948064
"jensen_shannon","exploratory",2,"2014-2015",3.54171094117959e-05
"jensen_shannon","exploratory",2,"2015-2016",0.00018858425738594
"jensen_shannon","exploratory",2,"2016-2017",0.000362868714478488
"jensen_shannon","exploratory",2,"2017-2018",0.000605978345399205
"jensen_shannon","exploratory",2,"2018-2019",0.528602944360136
"jensen_shannon","exploratory",2,"2019-2020",0.0502969815952117
"jensen_shannon","exploratory",2,"2020-2021",0.527405003463383
"jensen_shannon","exploratory",2,"2021-2022",0.52048060857897
"jensen_shannon","exploratory",2,"2022-2023",0.0562245630771513
"jensen_shannon","exploratory",2,"2023-2024",0.0260499257344122
"total_variation","exploratory",2,"2006-2007",0.013925225821145
"total_variation","exploratory",2,"2007-2008",0.0297514065208244
"total_variation","exploratory",2,"2008-2009",0.0102630609561069
"total_variation","exploratory",2,"2009-2010",0.0048758952552906
"total_variation","exploratory",2,"2010-2011",0.00282565747612927
"total_variation","exploratory",2,"2011-2012",0.0375606191647889
"total_variation","exploratory",2,"2012-2013",0.0147226290804558
"total_variation","exploratory",2,"2013-2014",0.0114746089785895
"total_variation","exploratory",2,"2014-2015",0.00672906842472772
"total_variation","exploratory",2,"2015-2016",0.0176528579934617
"total_variation","exploratory",2,"2016-2017",0.021051266164838
"total_variation","exploratory",2,"2017-2018",0.0271762389509087
"total_variation","exploratory",2,"2018-2019",0.89690476111504
"total_variation","exploratory",2,"2019-2020",0.152026127339723
"total_variation","exploratory",2,"2020-2021",0.895556514259153
"total_variation","exploratory",2,"2021-2022",0.891410161992825
"total_variation","exploratory",2,"2022-2023",0.16712008656514
"total_variation","exploratory",2,"2023-2024",0.0808982109849084
"frobenius","primary",3,"2006-2007",36.4036029858355
"frobenius","primary",3,"2007-2008",18.9484968533147
"frobenius","primary",3,"2008-2009",26.8488848287507
