"metric","metric_role","fixed_K","reference_K","spearman_rho_vs_K13","top5_jaccard_vs_K13"
"frobenius","primary",2,13,0.756449948400413,0.666666666666667
"frobenius","primary",3,13,0.878224974200207,1
"frobenius","primary",4,13,0.956656346749226,1
"frobenius","primary",5,13,0.946336429308565,1
"frobenius","primary",6,13,0.839009287925697,1
"frobenius","primary",8,13,0.938080495356037,0.666666666666667
"frobenius","primary",10,13,0.834881320949432,0.666666666666667
"frobenius","primary",13,13,1,1
"cut","primary",2,13,0.541795665634675,0.25
"cut","primary",3,13,0.597523219814242,0.111111111111111
"cut","primary",4,13,0.869969040247678,0.666666666666667
"cut","primary",5,13,0.799793601651187,0.666666666666667
"cut","primary",6,13,0.430340557275542,0.428571428571429
"cut","primary",8,13,0.675954592363261,0.666666666666667
"cut","primary",10,13,0.725490196078431,0.666666666666667
"cut","primary",13,13,1,1
"wasserstein","secondary",2,13,0.337461300309598,0.111111111111111
"wasserstein","secondary",3,13,0.440660474716202,0.111111111111111
"wasserstein","secondary",4,13,0.636738906088751,0.428571428571429
"wasserstein","secondary",5,13,0.514963880288958,0.25
"wasserstein","secondary",6,13,0.265221878224974,0.25
"wasserstein","secondary",8,13,0.68421052631579,0.428571428571429
"wasserstein","secondary",10,13,0.591331269349845,0.666666666666667
"wasserstein","secondary",13,13,1,1
"jensen_shannon","exploratory",2,13,0.547987616099071,0.428571428571429
"jensen_shannon","exploratory",3,13,0.618163054695562,0.25
"jensen_shannon","exploratory",4,13,0.830753353973168,0.428571428571429
"jensen_shannon","exploratory",5,13,0.79360165118679,0.666666666666667
"jensen_shannon","exploratory",6,13,0.601651186790506,0.428571428571429
"jensen_shannon","exploratory",8,13,0.368421052631579,0.428571428571429
"jensen_shannon","exploratory",10,13,0.808049535603715,0.428571428571429
"jensen_shannon","exploratory",13,13,1,1
"total_variation","exploratory",2,13,0.444788441692466,0.428571428571429
"total_variation","exploratory",3,13,0.603715170278638,0.428571428571429
"total_variation","exploratory",4,13,0.834881320949432,0.428571428571429
"total_variation","exploratory",5,13,0.675954592363261,0.428571428571429
"total_variation","exploratory",6,13,0.213622291021672,0.25
"total_variation","exploratory",8,13,0.135190918472652,0.25
"total_variation","exploratory",10,13,0.696594427244582,0.25
"total_variation","exploratory",13,13,1,1
