"estimator","fixed_K","metric","year_pair","distance","metric_role"
"block",13,"frobenius","2006-2007",46.5530193445947,"primary"
"block",13,"frobenius","2007-2008",38.2505948938675,"primary"
"block",13,"frobenius","2008-2009",47.4415183593281,"primary"
"block",13,"frobenius","2009-2010",79.9519476569507,"primary"
"block",13,"frobenius","2010-2011",28.0626603929784,"primary"
"block",13,"frobenius","2011-2012",102.421170209842,"primary"
"block",13,"frobenius","2012-2013",67.8222871755176,"primary"
"block",13,"frobenius","2013-2014",49.5169235074633,"primary"
"block",13,"frobenius","2014-2015",42.8757619122944,"primary"
"block",13,"frobenius","2015-2016",42.2759687833034,"primary"
"block",13,"frobenius","2016-2017",51.9901034296172,"primary"
"block",13,"frobenius","2017-2018",110.50797700582,"primary"
"block",13,"frobenius","2018-2019",81.0963740943513,"primary"
"block",13,"frobenius","2019-2020",55.9149899194098,"primary"
"block",13,"frobenius","2020-2021",82.8809721181254,"primary"
"block",13,"frobenius","2021-2022",47.0869859640381,"primary"
"block",13,"frobenius","2022-2023",91.9848231768275,"primary"
"block",13,"frobenius","2023-2024",40.4370781130069,"primary"
"block",13,"cut","2006-2007",1.67232363334334,"primary"
"block",13,"cut","2007-2008",1.90558860847616,"primary"
"block",13,"cut","2008-2009",2.67222614826844,"primary"
"block",13,"cut","2009-2010",3.39663526020919,"primary"
"block",13,"cut","2010-2011",1.19588861008718,"primary"
"block",13,"cut","2011-2012",3.6093172679565,"primary"
"block",13,"cut","2012-2013",2.49435948262693,"primary"
"block",13,"cut","2013-2014",1.34198029786814,"primary"
"block",13,"cut","2014-2015",1.85683233741823,"primary"
"block",13,"cut","2015-2016",1.96852496520125,"primary"
"block",13,"cut","2016-2017",1.67904243437273,"primary"
"block",13,"cut","2017-2018",3.54581502865151,"primary"
"block",13,"cut","2018-2019",2.82175656513354,"primary"
"block",13,"cut","2019-2020",2.94946810812116,"primary"
"block",13,"cut","2020-2021",2.49970801485637,"primary"
"block",13,"cut","2021-2022",1.83951620958373,"primary"
"block",13,"cut","2022-2023",4.3274823836433,"primary"
"block",13,"cut","2023-2024",1.59956666758103,"primary"
"block",13,"wasserstein","2006-2007",2.13095400164695,"secondary"
"block",13,"wasserstein","2007-2008",1.77008686937299,"secondary"
"block",13,"wasserstein","2008-2009",2.47813910853726,"secondary"
"block",13,"wasserstein","2009-2010",2.87176626018721,"secondary"
"block",13,"wasserstein","2010-2011",1.28353620142573,"secondary"
"block",13,"wasserstein","2011-2012",3.16513973130538,"secondary"
"block",13,"wasserstein","2012-2013",2.18096968578867,"secondary"
"block",13,"wasserstein","2013-2014",1.24250419266249,"secondary"
"block",13,"wasserstein","2014-2015",1.80229840794847,"secondary"
"block",13,"wasserstein","2015-2016",1.87812809145881,"secondary"
"block",13,"wasserstein","2016-2017",1.51205077685182,"secondary"
"block",13,"wasserstein","2017-2018",2.77637129814272,"secondary"
"block",13,"wasserstein","2018-2019",1.99274396192175,"secondary"
"block",13,"wasserstein","2019-2020",2.54399317615294,"secondary"
"block",13,"wasserstein","2020-2021",2.1211765290558,"secondary"
"block",13,"wasserstein","2021-2022",1.44221896857849,"secondary"
"block",13,"wasserstein","2022-2023",3.72696885624307,"secondary"
"block",13,"wasserstein","2023-2024",1.56913488485317,"secondary"
"block",13,"jensen_shannon","2006-2007",0.0194034327424198,"exploratory"
"block",13,"jensen_shannon","2007-2008",0.0425606368315088,"exploratory"
"block",13,"jensen_shannon","2008-2009",0.0230218183591774,"exploratory"
"block",13,"jensen_shannon","2009-2010",0.0452793067457624,"exploratory"
"block",13,"jensen_shannon","2010-2011",0.00864172891748032,"exploratory"
"block",13,"jensen_shannon","2011-2012",0.0362354003604739,"exploratory"
"block",13,"jensen_shannon","2012-2013",0.0127903699220392,"exploratory"
"block",13,"jensen_shannon","2013-2014",0.0140774058387308,"exploratory"
"block",13,"jensen_shannon","2014-2015",0.0376289180476423,"exploratory"
"block",13,"jensen_shannon","2015-2016",0.0441109641721904,"exploratory"
"block",13,"jensen_shannon","2016-2017",0.0275505660987153,"exploratory"
"block",13,"jensen_shannon","2017-2018",0.0732741738040717,"exploratory"
"block",13,"jensen_shannon","2018-2019",0.0710799991287004,"exploratory"
"block",13,"jensen_shannon","2019-2020",0.0484978572206507,"exploratory"
"block",13,"jensen_shannon","2020-2021",0.078706504280417,"exploratory"
"block",13,"jensen_shannon","2021-2022",0.0436285716850341,"exploratory"
"block",13,"jensen_shannon","2022-2023",0.0249023261520948,"exploratory"
"block",13,"jensen_shannon","2023-2024",0.0199707808254271,"exploratory"
"block",13,"total_variation","2006-2007",0.134068806801216,"exploratory"
"block",13,"total_variation","2007-2008",0.175279139518281,"exploratory"
"block",13,"total_variation","2008-2009",0.135445419085682,"exploratory"
"block",13,"total_variation","2009-2010",0.199439002314351,"exploratory"
"block",13,"total_variation","2010-2011",0.074974902373587,"exploratory"
"block",13,"total_variation","2011-2012",0.180579542496976,"exploratory"
"block",13,"total_variation","2012-2013",0.0866775640891647,"exploratory"
"block",13,"total_variation","2013-2014",0.0953209631664214,"exploratory"
"block",13,"total_variation","2014-2015",0.188155531827147,"exploratory"
"block",13,"total_variation","2015-2016",0.204916836209693,"exploratory"
"block",13,"total_variation","2016-2017",0.147909911601682,"exploratory"
"block",13,"total_variation","2017-2018",0.257994262001578,"exploratory"
"block",13,"total_variation","2018-2019",0.253165269595028,"exploratory"
"block",13,"total_variation","2019-2020",0.215923288332785,"exploratory"
"block",13,"total_variation","2020-2021",0.254141204059044,"exploratory"
"block",13,"total_variation","2021-2022",0.165922071187727,"exploratory"
"block",13,"total_variation","2022-2023",0.146122563724617,"exploratory"
"block",13,"total_variation","2023-2024",0.11703537695372,"exploratory"
"smooth",13,"frobenius","2006-2007",38.9199871844186,"primary"
"smooth",13,"frobenius","2007-2008",16.3378403780491,"primary"
"smooth",13,"frobenius","2008-2009",42.1203338173397,"primary"
"smooth",13,"frobenius","2009-2010",75.6567449566898,"primary"
"smooth",13,"frobenius","2010-2011",15.1515463673845,"primary"
"smooth",13,"frobenius","2011-2012",102.897526627115,"primary"
"smooth",13,"frobenius","2012-2013",63.4527520672177,"primary"
"smooth",13,"frobenius","2013-2014",42.0052506989875,"primary"
"smooth",13,"frobenius","2014-2015",11.2218348216318,"primary"
"smooth",13,"frobenius","2015-2016",18.6155611673742,"primary"
"smooth",13,"frobenius","2016-2017",58.5086125832752,"primary"
"smooth",13,"frobenius","2017-2018",107.328704168613,"primary"
"smooth",13,"frobenius","2018-2019",63.7384721203002,"primary"
"smooth",13,"frobenius","2019-2020",45.4867277836769,"primary"
"smooth",13,"frobenius","2020-2021",72.942733969422,"primary"
"smooth",13,"frobenius","2021-2022",41.6902663148893,"primary"
"smooth",13,"frobenius","2022-2023",84.2829771851032,"primary"
"smooth",13,"frobenius","2023-2024",11.6871380373034,"primary"
"smooth",13,"cut","2006-2007",0.854564252936186,"primary"
"smooth",13,"cut","2007-2008",1.01011293048659,"primary"
"smooth",13,"cut","2008-2009",1.95607381624825,"primary"
"smooth",13,"cut","2009-2010",3.27519245309887,"primary"
"smooth",13,"cut","2010-2011",0.438871393237726,"primary"
"smooth",13,"cut","2011-2012",3.42241560779256,"primary"
"smooth",13,"cut","2012-2013",2.31927302204493,"primary"
"smooth",13,"cut","2013-2014",0.925113444311237,"primary"
"smooth",13,"cut","2014-2015",0.143655907670626,"primary"
"smooth",13,"cut","2015-2016",0.529746070901344,"primary"
"smooth",13,"cut","2016-2017",1.20928965134602,"primary"
"smooth",13,"cut","2017-2018",2.47455073090834,"primary"
"smooth",13,"cut","2018-2019",1.00575359109021,"primary"
"smooth",13,"cut","2019-2020",2.97236274457511,"primary"
"smooth",13,"cut","2020-2021",1.76245615795847,"primary"
"smooth",13,"cut","2021-2022",1.79924342022226,"primary"
"smooth",13,"cut","2022-2023",3.51705597525257,"primary"
"smooth",13,"cut","2023-2024",0.704259738764086,"primary"
"smooth",13,"wasserstein","2006-2007",1.11145628494389,"secondary"
"smooth",13,"wasserstein","2007-2008",1.29638511016278,"secondary"
"smooth",13,"wasserstein","2008-2009",2.06170127277331,"secondary"
"smooth",13,"wasserstein","2009-2010",3.26869118505381,"secondary"
"smooth",13,"wasserstein","2010-2011",0.525216191492789,"secondary"
"smooth",13,"wasserstein","2011-2012",2.81959371285578,"secondary"
"smooth",13,"wasserstein","2012-2013",2.04791212307273,"secondary"
"smooth",13,"wasserstein","2013-2014",0.727873017107509,"secondary"
"smooth",13,"wasserstein","2014-2015",0.29879609078631,"secondary"
"smooth",13,"wasserstein","2015-2016",0.677138095091251,"secondary"
"smooth",13,"wasserstein","2016-2017",1.04365347060263,"secondary"
"smooth",13,"wasserstein","2017-2018",2.57766754157054,"secondary"
"smooth",13,"wasserstein","2018-2019",1.53356165032194,"secondary"
"smooth",13,"wasserstein","2019-2020",2.64255359555774,"secondary"
"smooth",13,"wasserstein","2020-2021",2.11243411052312,"secondary"
"smooth",13,"wasserstein","2021-2022",1.98834472037667,"secondary"
"smooth",13,"wasserstein","2022-2023",3.51705597525177,"secondary"
"smooth",13,"wasserstein","2023-2024",0.795275849558151,"secondary"
"smooth",13,"jensen_shannon","2006-2007",0.0140393685495474,"exploratory"
"smooth",13,"jensen_shannon","2007-2008",0.0112193392689008,"exploratory"
"smooth",13,"jensen_shannon","2008-2009",0.0158135972332647,"exploratory"
"smooth",13,"jensen_shannon","2009-2010",0.0396012778274482,"exploratory"
"smooth",13,"jensen_shannon","2010-2011",0.000467102298593505,"exploratory"
"smooth",13,"jensen_shannon","2011-2012",0.029899240549237,"exploratory"
"smooth",13,"jensen_shannon","2012-2013",0.0219984814302738,"exploratory"
"smooth",13,"jensen_shannon","2013-2014",0.0202553655825439,"exploratory"
"smooth",13,"jensen_shannon","2014-2015",0.000329273101790713,"exploratory"
"smooth",13,"jensen_shannon","2015-2016",0.00603484127072714,"exploratory"
"smooth",13,"jensen_shannon","2016-2017",0.0349593500623972,"exploratory"
"smooth",13,"jensen_shannon","2017-2018",0.0525477863630893,"exploratory"
"smooth",13,"jensen_shannon","2018-2019",0.0294157437976355,"exploratory"
"smooth",13,"jensen_shannon","2019-2020",0.0263165909903422,"exploratory"
"smooth",13,"jensen_shannon","2020-2021",0.047684998348698,"exploratory"
"smooth",13,"jensen_shannon","2021-2022",0.0561415091763505,"exploratory"
"smooth",13,"jensen_shannon","2022-2023",0.00155540582442616,"exploratory"
"smooth",13,"jensen_shannon","2023-2024",0.000586757174311357,"exploratory"
"smooth",13,"total_variation","2006-2007",0.0642378496389396,"exploratory"
"smooth",13,"total_variation","2007-2008",0.0687151400893416,"exploratory"
"smooth",13,"total_variation","2008-2009",0.069831796413666,"exploratory"
"smooth",13,"total_variation","2009-2010",0.115860807498405,"exploratory"
"smooth",13,"total_variation","2010-2011",0.0180085244411321,"exploratory"
"smooth",13,"total_variation","2011-2012",0.099344838003479,"exploratory"
"smooth",13,"total_variation","2012-2013",0.0592471977321804,"exploratory"
"smooth",13,"total_variation","2013-2014",0.0545042413418224,"exploratory"
"smooth",13,"total_variation","2014-2015",0.0154647029637042,"exploratory"
"smooth",13,"total_variation","2015-2016",0.0439269091703653,"exploratory"
"smooth",13,"total_variation","2016-2017",0.102258425069289,"exploratory"
"smooth",13,"total_variation","2017-2018",0.161391678976369,"exploratory"
"smooth",13,"total_variation","2018-2019",0.099171414490783,"exploratory"
"smooth",13,"total_variation","2019-2020",0.10295813895549,"exploratory"
"smooth",13,"total_variation","2020-2021",0.15058615436948,"exploratory"
"smooth",13,"total_variation","2021-2022",0.148929796710724,"exploratory"
"smooth",13,"total_variation","2022-2023",0.0402104053747413,"exploratory"
"smooth",13,"total_variation","2023-2024",0.021372213880717,"exploratory"
"spectral",13,"frobenius","2006-2007",44.5969133216777,"primary"
"spectral",13,"frobenius","2007-2008",52.0020728605233,"primary"
"spectral",13,"frobenius","2008-2009",54.3793477787773,"primary"
"spectral",13,"frobenius","2009-2010",75.3742963700569,"primary"
"spectral",13,"frobenius","2010-2011",46.6997995833058,"primary"
"spectral",13,"frobenius","2011-2012",109.070979361346,"primary"
"spectral",13,"frobenius","2012-2013",70.3865820645715,"primary"
"spectral",13,"frobenius","2013-2014",48.3554269835913,"primary"
"spectral",13,"frobenius","2014-2015",29.8479512232762,"primary"
"spectral",13,"frobenius","2015-2016",35.7386897074365,"primary"
"spectral",13,"frobenius","2016-2017",57.5291386291341,"primary"
"spectral",13,"frobenius","2017-2018",116.370464215625,"primary"
