"estimator","fixed_K","metric","year_pair","distance","metric_role","rank_within_metric"
"block",13,"cut","2022-2023",4.3274823836433,"primary",1
"block",13,"cut","2011-2012",3.6093172679565,"primary",2
"block",13,"cut","2017-2018",3.54581502865151,"primary",3
"block",13,"cut","2009-2010",3.39663526020919,"primary",4
"block",13,"cut","2019-2020",2.94946810812116,"primary",5
"block",13,"cut","2018-2019",2.82175656513354,"primary",6
"block",13,"cut","2008-2009",2.67222614826844,"primary",7
"block",13,"cut","2020-2021",2.49970801485637,"primary",8
"block",13,"cut","2012-2013",2.49435948262693,"primary",9
"block",13,"cut","2015-2016",1.96852496520125,"primary",10
"block",13,"cut","2007-2008",1.90558860847616,"primary",11
"block",13,"cut","2014-2015",1.85683233741823,"primary",12
"block",13,"cut","2021-2022",1.83951620958373,"primary",13
"block",13,"cut","2016-2017",1.67904243437273,"primary",14
"block",13,"cut","2006-2007",1.67232363334334,"primary",15
"block",13,"cut","2023-2024",1.59956666758103,"primary",16
"block",13,"cut","2013-2014",1.34198029786814,"primary",17
"block",13,"cut","2010-2011",1.19588861008718,"primary",18
"block",13,"frobenius","2017-2018",110.50797700582,"primary",1
"block",13,"frobenius","2011-2012",102.421170209842,"primary",2
"block",13,"frobenius","2022-2023",91.9848231768275,"primary",3
"block",13,"frobenius","2020-2021",82.8809721181254,"primary",4
"block",13,"frobenius","2018-2019",81.0963740943513,"primary",5
"block",13,"frobenius","2009-2010",79.9519476569507,"primary",6
"block",13,"frobenius","2012-2013",67.8222871755176,"primary",7
"block",13,"frobenius","2019-2020",55.9149899194098,"primary",8
"block",13,"frobenius","2016-2017",51.9901034296172,"primary",9
"block",13,"frobenius","2013-2014",49.5169235074633,"primary",10
"block",13,"frobenius","2008-2009",47.4415183593281,"primary",11
"block",13,"frobenius","2021-2022",47.0869859640381,"primary",12
"block",13,"frobenius","2006-2007",46.5530193445947,"primary",13
"block",13,"frobenius","2014-2015",42.8757619122944,"primary",14
"block",13,"frobenius","2015-2016",42.2759687833034,"primary",15
"block",13,"frobenius","2023-2024",40.4370781130069,"primary",16
"block",13,"frobenius","2007-2008",38.2505948938675,"primary",17
"block",13,"frobenius","2010-2011",28.0626603929784,"primary",18
"block",13,"wasserstein","2022-2023",3.72696885624307,"secondary",1
"block",13,"wasserstein","2011-2012",3.16513973130538,"secondary",2
"block",13,"wasserstein","2009-2010",2.87176626018721,"secondary",3
"block",13,"wasserstein","2017-2018",2.77637129814272,"secondary",4
"block",13,"wasserstein","2019-2020",2.54399317615294,"secondary",5
"block",13,"wasserstein","2008-2009",2.47813910853726,"secondary",6
"block",13,"wasserstein","2012-2013",2.18096968578867,"secondary",7
"block",13,"wasserstein","2006-2007",2.13095400164695,"secondary",8
"block",13,"wasserstein","2020-2021",2.1211765290558,"secondary",9
"block",13,"wasserstein","2018-2019",1.99274396192175,"secondary",10
"block",13,"wasserstein","2015-2016",1.87812809145881,"secondary",11
"block",13,"wasserstein","2014-2015",1.80229840794847,"secondary",12
"block",13,"wasserstein","2007-2008",1.77008686937299,"secondary",13
"block",13,"wasserstein","2023-2024",1.56913488485317,"secondary",14
"block",13,"wasserstein","2016-2017",1.51205077685182,"secondary",15
"block",13,"wasserstein","2021-2022",1.44221896857849,"secondary",16
"block",13,"wasserstein","2010-2011",1.28353620142573,"secondary",17
"block",13,"wasserstein","2013-2014",1.24250419266249,"secondary",18
