"year","K","raw_block","destination_role_rank","block_size","fitted_in_mean","fitted_out_mean","destination_core_count","regional_core_count","destination_core_labels","regional_core_labels"
"2015",2,2,1,1,1087.96571428571,460.811428571429,1,0,"Budapesti",""
"2015",2,1,2,174,5.60371100164182,9.20804597701128,19,19,"Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Szolnoki; Tatabanyai; Vaci; Veszpremi","Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Szolnoki; Tatabanyai; Vaci; Veszpremi"
"2015",4,1,1,1,1087.96571428571,460.811428571429,1,0,"Budapesti",""
"2015",4,4,2,18,54.1692063492063,29.4730158730159,17,17,"Bajai; Debreceni; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szolnoki; Tatabanyai; Vaci; Veszpremi","Bajai; Debreceni; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szolnoki; Tatabanyai; Vaci; Veszpremi"
"2015",4,2,3,86,0,9.5997342192691,2,2,"Dunaujvarosi; Szekesfehervari","Dunaujvarosi; Szekesfehervari"
"2015",4,3,3,70,0,3.51583673469388,0,0,"",""
"2015",8,6,1,1,1087.96571428571,460.811428571429,1,0,"Budapesti",""
"2015",8,2,2,10,90.2525714285714,34.4742857142857,10,10,"Debreceni; Egri; Godolloi; Gyori; Kaposvari; Miskolci; Pecsi; Sopron-Fertodi; Szegedi; Veszpremi","Debreceni; Egri; Godolloi; Gyori; Kaposvari; Miskolci; Pecsi; Sopron-Fertodi; Szegedi; Veszpremi"
"2015",8,3,3,8,9.065,23.2214285714286,7,7,"Bajai; Kecskemeti; Nyiregyhazai; Oroshazai; Szolnoki; Tatabanyai; Vaci","Bajai; Kecskemeti; Nyiregyhazai; Oroshazai; Szolnoki; Tatabanyai; Vaci"
"2015",8,1,4,25,0,14.6781714285714,2,2,"Dunaujvarosi; Szekesfehervari","Dunaujvarosi; Szekesfehervari"
"2015",8,4,4,32,0,5.74267857142857,0,0,"",""
"2015",8,5,4,26,0,3.59054945054945,0,0,"",""
"2015",8,7,4,46,0,8.03204968944099,0,0,"",""
"2015",8,8,4,27,0,2.15322751322751,0,0,"",""
"2015",13,6,1,1,1087.96571428571,460.811428571429,1,0,"Budapesti",""
"2015",13,7,2,10,90.2525714285714,34.4742857142857,10,10,"Debreceni; Egri; Godolloi; Gyori; Kaposvari; Miskolci; Pecsi; Sopron-Fertodi; Szegedi; Veszpremi","Debreceni; Egri; Godolloi; Gyori; Kaposvari; Miskolci; Pecsi; Sopron-Fertodi; Szegedi; Veszpremi"
"2015",13,1,3,8,9.065,23.2214285714286,7,7,"Bajai; Kecskemeti; Nyiregyhazai; Oroshazai; Szolnoki; Tatabanyai; Vaci","Bajai; Kecskemeti; Nyiregyhazai; Oroshazai; Szolnoki; Tatabanyai; Vaci"
"2015",13,2,4,15,0,1.944,0,0,"",""
"2015",13,3,4,15,0,8.56685714285714,0,0,"",""
"2015",13,4,4,12,0,2.4147619047619,0,0,"",""
"2015",13,5,4,10,0,23.8451428571429,2,2,"Dunaujvarosi; Szekesfehervari","Dunaujvarosi; Szekesfehervari"
"2015",13,8,4,15,0,5.9432380952381,0,0,"",""
"2015",13,9,4,11,0,3.34961038961039,0,0,"",""
"2015",13,10,4,25,0,9.53348571428572,0,0,"",""
"2015",13,11,4,21,0,6.24462585034014,0,0,"",""
"2015",13,12,4,15,0,3.7672380952381,0,0,"",""
"2015",13,13,4,17,0,5.56571428571429,0,0,"",""
"2018",2,2,1,1,1173.72,511.52,1,0,"Budapesti",""
"2018",2,1,2,174,5.91799671592797,9.72374384236475,19,19,"Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Szolnoki; Tatabanyai; Vaci; Veszpremi","Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Szolnoki; Tatabanyai; Vaci; Veszpremi"
"2018",4,3,1,1,1173.72,511.52,1,0,"Budapesti",""
"2018",4,2,2,13,74.632087912088,39.8606593406593,13,13,"Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Pecsi; Szegedi; Tatabanyai; Vaci; Veszpremi","Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Pecsi; Szegedi; Tatabanyai; Vaci; Veszpremi"
"2018",4,1,3,28,1.98653061224494,0,3,3,"Nyiregyhazai; Oroshazai; Sopron-Fertodi","Nyiregyhazai; Oroshazai; Sopron-Fertodi"
"2018",4,4,4,133,0.0292588614393131,8.82513426423203,3,3,"Bajai; Szekesfehervari; Szolnoki","Bajai; Szekesfehervari; Szolnoki"
"2018",8,1,1,1,1173.72,511.52,1,0,"Budapesti",""
"2018",8,3,2,10,93.9782857142857,46.0205714285714,10,10,"Debreceni; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Pecsi; Szegedi; Veszpremi","Debreceni; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Pecsi; Szegedi; Veszpremi"
"2018",8,2,3,3,17.84,0,3,3,"Nyiregyhazai; Oroshazai; Sopron-Fertodi","Nyiregyhazai; Oroshazai; Sopron-Fertodi"
"2018",8,5,4,4,8.55571428571429,18.3357142857143,4,4,"Bajai; Dunaujvarosi; Tatabanyai; Vaci","Bajai; Dunaujvarosi; Tatabanyai; Vaci"
"2018",8,8,5,25,0.084114285714286,0,0,0,"",""
"2018",8,4,6,64,0.00160714285714286,7.84928571428571,0,0,"",""
"2018",8,6,7,47,0,4.30188449848025,0,0,"",""
"2018",8,7,7,21,0,21.6114285714286,2,2,"Szekesfehervari; Szolnoki","Szekesfehervari; Szolnoki"
"2018",13,11,1,1,1173.72,511.52,1,0,"Budapesti",""
"2018",13,12,2,3,160.102857142857,59.2019047619048,3,3,"Debreceni; Pecsi; Szegedi","Debreceni; Pecsi; Szegedi"
"2018",13,3,3,7,65.6391836734694,40.3714285714286,7,7,"Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Veszpremi","Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Veszpremi"
"2018",13,10,4,3,17.84,0,3,3,"Nyiregyhazai; Oroshazai; Sopron-Fertodi","Nyiregyhazai; Oroshazai; Sopron-Fertodi"
"2018",13,4,5,4,8.55571428571429,18.3357142857143,4,4,"Bajai; Dunaujvarosi; Tatabanyai; Vaci","Bajai; Dunaujvarosi; Tatabanyai; Vaci"
"2018",13,2,6,25,0.0841142857142857,0,0,0,"",""
"2018",13,8,7,38,0.00270676691729323,7.06857142857143,0,0,"",""
"2018",13,1,8,15,0,11.2304761904762,0,0,"",""
"2018",13,5,8,7,0,21.7477551020408,0,0,"",""
"2018",13,6,8,20,0,9.53,0,0,"",""
"2018",13,7,8,31,0,4.93400921658986,0,0,"",""
"2018",13,9,8,16,0,3.07714285714286,0,0,"",""
"2018",13,13,8,5,0,35.2594285714286,2,2,"Szekesfehervari; Szolnoki","Szekesfehervari; Szolnoki"
"2021",2,2,1,1,1058.78857142857,481.76,1,0,"Budapesti",""
"2021",2,1,2,174,4.78502463054181,8.10128078817727,19,19,"Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Szolnoki; Tatabanyai; Vaci; Veszpremi","Bajai; Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kaposvari; Kecskemeti; Miskolci; Nyiregyhazai; Oroshazai; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Szolnoki; Tatabanyai; Vaci; Veszpremi"
"2021",4,2,1,1,1058.78857142857,481.76,1,0,"Budapesti",""
"2021",4,3,2,14,58.1359183673471,33.1583673469388,14,14,"Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi","Debreceni; Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Pecsi; Sopron-Fertodi; Szegedi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi"
"2021",4,1,3,27,0.594285714285699,0,2,2,"Nyiregyhazai; Oroshazai","Nyiregyhazai; Oroshazai"
"2021",4,4,4,133,0.0198925886143875,7.10831364124598,3,3,"Bajai; Kaposvari; Szolnoki","Bajai; Kaposvari; Szolnoki"
"2021",8,5,1,1,1058.78857142857,481.76,1,0,"Budapesti",""
"2021",8,2,2,10,77.8497142857143,41.3165714285714,10,10,"Debreceni; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Pecsi; Szegedi; Szekesfehervari; Veszpremi","Debreceni; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Pecsi; Szegedi; Szekesfehervari; Veszpremi"
"2021",8,4,3,3,10.0228571428571,0,2,2,"Nyiregyhazai; Sopron-Fertodi","Nyiregyhazai; Sopron-Fertodi"
"2021",8,8,4,4,5.97428571428571,15.5957142857143,4,4,"Bajai; Dunaujvarosi; Tatabanyai; Vaci","Bajai; Dunaujvarosi; Tatabanyai; Vaci"
"2021",8,6,5,44,0.00298701298701298,12.1206493506493,2,2,"Kaposvari; Szolnoki","Kaposvari; Szolnoki"
"2021",8,1,6,25,0,0,1,1,"Oroshazai","Oroshazai"
"2021",8,3,6,60,0,5.35142857142858,0,0,"",""
"2021",8,7,6,28,0,2.84571428571429,0,0,"",""
