"year","K","budapest_destination_role_rank","destination_core_distinct_roles","regional_core_distinct_roles","regional_core_effective_roles","regional_core_same_block_rate","raw_total_weight"
"2015",2,1,2,1,1,1,361027
"2015",4,1,3,2,1.40003292973449,0.801169590643275,361027
"2015",8,1,4,3,2.56683843727002,0.391812865497076,361027
"2015",13,1,4,3,2.56683843727002,0.391812865497076,361027
"2018",2,1,2,1,1,1,385604
"2018",4,1,4,3,2.32226599946897,0.491228070175439,385604
"2018",8,1,5,4,3.30115591478847,0.321637426900585,385604
"2018",13,1,6,5,4.55297202369024,0.198830409356725,385604
"2021",2,1,2,1,1,1,330992
"2021",4,1,4,3,2.12430026519027,0.555555555555556,330992
"2021",8,1,6,5,3.65017430572568,0.309941520467836,330992
"2021",13,1,6,5,4.64221140743129,0.187134502923977,330992
"2024",2,1,2,2,1.67305812675851,0.649122807017544,441262
"2024",4,1,3,2,1.54675985276142,0.719298245614035,441262
"2024",8,1,4,3,2.70004438064187,0.368421052631579,441262
"2024",13,1,5,4,3.36072523180892,0.31578947368421,441262
