"year","low_K","high_K","weighted_refinement_consistency","minimum_high_block_parent_share","median_high_block_parent_share"
"2015",2,4,1,1,1
"2015",4,8,1,1,1
"2015",8,13,1,1,1
"2018",2,4,1,1,1
"2018",4,8,0.994285714285714,0.75,1
"2018",8,13,0.851428571428571,0.723404255319149,1
"2021",2,4,1,1,1
"2021",4,8,0.845714285714286,0.666666666666667,0.889380530973451
"2021",8,13,0.845714285714286,0.81294964028777,1
"2024",2,4,0.994285714285714,0.941176470588235,1
"2024",4,8,1,1,1
"2024",8,13,0.982857142857143,0.7,1
